Distribuzione per classi di età ASL Latina

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;10466;11133;1540;1711
5-9;12414;13133;1585;1786
10-14;13526;14205;1357;1500
15-19;13202;13819;1072;1242
20-24;13275;15034;1149;2129
25-29;14285;15742;1657;2482
30-34;15892;16637;2483;3184
35-39;16731;18233;2612;3749
40-44;19231;20097;2639;3571
45-49;22927;23286;2379;2882
50-54;23437;22965;2106;2186
55-59;22632;21877;1333;1152
60-64;19289;18014;941;692
65-69;16998;15910;466;326
70-74;17217;15503;285;147
75-79;12445;10543;112;64
80-84;11085;8476;79;38
85+;11334;6446;52;30

Fonte www.opensalutelazio.it
