Distribuzione per classi di età ASL Rieti

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;2147;2446;255;309
5-9;2662;2864;299;336
10-14;3045;3216;297;316
15-19;3051;3445;249;326
20-24;3326;3693;300;609
25-29;3583;4372;414;836
30-34;3757;4318;538;894
35-39;3975;4355;628;775
40-44;4753;4866;679;673
45-49;5672;5690;713;567
50-54;6128;5972;669;489
55-59;6328;6253;495;298
60-64;5598;5385;384;172
65-69;5064;4971;225;104
70-74;5006;4838;137;61
75-79;3789;3478;62;34
80-84;3705;2802;34;15
85+;4225;2365;20;7

Fonte www.opensalutelazio.it
