"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"FROSINONE","""00_04""",8065,8295,600,603,8665,8898,17563,250758,243308,494066,494066,6,4,10,17553,116071,377995,494066,9,5,14,17549,7927,486139,494066
"FROSINONE","""05_09""",9711,9980,623,671,10334,10651,20985,250758,243308,494066,494066,6,7,13,20972,116071,377995,494066,0,0,0,20985,7927,486139,494066
"FROSINONE","""10_14""",10330,11013,600,640,10930,11653,22583,250758,243308,494066,494066,11,24,35,22548,116071,377995,494066,0,0,0,22583,7927,486139,494066
"FROSINONE","""15_19""",10304,10898,510,581,10814,11479,22293,250758,243308,494066,494066,22,33,55,22238,116071,377995,494066,0,0,0,22293,7927,486139,494066
"FROSINONE","""20_24""",10468,12038,691,1425,11159,13463,24622,250758,243308,494066,494066,31,47,78,24544,116071,377995,494066,0,10,10,24612,7927,486139,494066
"FROSINONE","""25_29""",11736,12779,896,1467,12632,14246,26878,250758,243308,494066,494066,40,68,108,26770,116071,377995,494066,0,8,8,26870,7927,486139,494066
"FROSINONE","""30_34""",12962,13914,1157,1403,14119,15317,29436,250758,243308,494066,494066,87,188,275,29161,116071,377995,494066,0,12,12,29424,7927,486139,494066
"FROSINONE","""35_39""",13980,14668,1182,1265,15162,15933,31095,250758,243308,494066,494066,243,397,640,30455,116071,377995,494066,0,12,12,31083,7927,486139,494066
"FROSINONE","""40_44""",15766,15787,1149,1126,16915,16913,33828,250758,243308,494066,494066,624,1064,1688,32140,116071,377995,494066,9,36,45,33783,7927,486139,494066
"FROSINONE","""45_49""",17862,17530,1092,866,18954,18396,37350,250758,243308,494066,494066,1642,2384,4026,33324,116071,377995,494066,29,59,88,37262,7927,486139,494066
"FROSINONE","""50_54""",18569,17971,1028,709,19597,18680,38277,250758,243308,494066,494066,3396,4094,7490,30787,116071,377995,494066,51,117,168,38109,7927,486139,494066
