Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMINAZI
"""0-4""";8065;8295;600;603;FROSINONE
"""05-09""";9711;9980;623;671;FROSINONE
"""10-14""";10330;11013;600;640;FROSINONE
"""15-19""";10304;10898;510;581;FROSINONE
"""20-24""";10468;12038;691;1425;FROSINONE
"""25-29""";11736;12779;896;1467;FROSINONE
"""30-34""";12962;13914;1157;1403;FROSINONE
"""35-39""";13980;14668;1182;1265;FROSINONE
"""40-44""";15766;15787;1149;1126;FROSINONE
"""45-49""";17862;17530;1092;866;FROSINONE
"""50-54""";18569;17971;1028;709;FROSINONE
"""55-59""";18938;17851;672;430;FROSINONE
"""60-64""";17348;16371;541;298;FROSINONE
"""65-69""";15878;15072;351;177;FROSINONE
"""70-74""";15446;14546;222;93;FROSINONE
"""75-79""";10691;9108;93;52;FROSINONE
"""80-84""";9739;7447;57;46;FROSINONE
"""85-100""";11461;6167;40;21;FROSINONE
