Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMAZI
"""00-04""";16585;17494;2430;2527;ROMA 1
"""05-09""";20150;21550;2933;3186;ROMA 1
"""10-14""";22467;23877;2747;2957;ROMA 1
"""15-19""";22384;23406;2213;2528;ROMA 1
"""20-24""";21246;22704;2019;2691;ROMA 1
"""25-29""";22739;24008;3345;3999;ROMA 1
"""30-34""";25478;25326;5175;5398;ROMA 1
"""35-39""";29493;28068;7007;7252;ROMA 1
"""40-44""";34333;31281;8083;7468;ROMA 1
"""45-49""";42546;37423;8197;6614;ROMA 1
"""50-54""";46163;40009;8260;5454;ROMA 1
"""55-59""";45148;39420;6797;4047;ROMA 1
"""60-64""";37402;31838;5394;2694;ROMA 1
"""65-69""";31707;25722;3378;1579;ROMA 1
"""70-74""";30205;23065;1796;841;ROMA 1
"""75-79""";26728;18935;938;454;ROMA 1
"""80-84""";24704;16253;519;256;ROMA 1
"""85-100""";28188;13866;455;193;ROMA 1
