Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMINAZI
"""00-04""";9098;9631;1582;1707;ROMA 5
"""05-09""";11229;12162;1824;2071;ROMA 5
"""10-14""";12611;13261;1830;1905;ROMA 5
"""15-19""";11857;12914;1330;1464;ROMA 5
"""20-24""";11409;12521;1176;1614;ROMA 5
"""25-29""";12040;12883;1730;1856;ROMA 5
"""30-34""";13866;14280;2574;2728;ROMA 5
"""35-39""";15243;15765;3139;3444;ROMA 5
"""40-44""";17572;17683;3382;3665;ROMA 5
"""45-49""";20429;20355;3088;3063;ROMA 5
"""50-54""";21172;20669;2885;2596;ROMA 5
"""55-59""";20128;19653;1609;1340;ROMA 5
"""60-64""";16893;16347;1205;838;ROMA 5
"""65-69""";14378;13632;597;419;ROMA 5
"""70-74""";13082;11984;331;174;ROMA 5
"""75-79""";10121;8434;132;75;ROMA 5
"""80-84""";8825;6635;80;32;ROMA 5
"""85-100""";9163;4765;54;25;ROMA 5
