Distribuzione per classi di età ASL Roma 6

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;10255;10749;1420;1442
5-9;12807;13613;1596;1795
10-14;14474;15404;1534;1662
15-19;13807;14645;1082;1290
20-24;13252;14186;973;1435
25-29;13471;14293;1501;1860
30-34;15378;15843;2572;2797
35-39;17196;17968;3025;3702
40-44;20453;20330;3463;3743
45-49;24581;24261;3244;3204
50-54;24792;24243;2913;2557
55-59;23553;23045;1880;1515
60-64;19941;18865;1368;994
65-69;17158;15669;746;470
70-74;15734;14229;374;204
75-79;12451;10536;159;100
80-84;10587;7770;105;63
85+;10401;5587;86;40

Fonte www.opensalutelazio.it
