Gruppo patologie: Dati di prevalenza Ipertensione
Genere: Maschi
Classi età: 80-84
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;50570
ROMA;26334
ASL Roma 1;9571
ASL Roma 2;11818
ASL Roma 3;5417
ASL Roma 4;2385
ASL Roma 5;3510
ASL Roma 6;4097
ASL Frosinone;4603
ASL Latina;4686
ASL Rieti;1698
ASL Viterbo;2785

DISTRETTO;2022

ASL Roma 1, Distretto 01;1566
ASL Roma 1, Distretto 02;1597
ASL Roma 1, Distretto 03;1951
ASL Roma 1, Distretto 13;1271
ASL Roma 1, Distretto 14;1835
ASL Roma 1, Distretto 15;1351
ASL Roma 2, Distretto 04;1645
ASL Roma 2, Distretto 05;2526
ASL Roma 2, Distretto 06;1564
ASL Roma 2, Distretto 07;3143
ASL Roma 2, Distretto 08;1426
ASL Roma 2, Distretto 09;1514
ASL Roma 3, Municipio X;1835
ASL Roma 3, Municipio XI;1471
ASL Roma 3, Municipio XII;1639
ASL Roma 3, Fiumicino;472
ASL Roma 4, Distretto F1;667
ASL Roma 4, Distretto F2;581
ASL Roma 4, Distretto F3;438
ASL Roma 4, Distretto F4;699
ASL Roma 5, Distretto G1-Mentana-Monterotondo;579
ASL Roma 5, Distretto G2-Guidonia;757
ASL Roma 5, Distretto G3-Tivoli;678
ASL Roma 5, Distretto G4-Subiaco;329
ASL Roma 5, Distretto G5-Palestrina;513
ASL Roma 5, Distretto G6-Colleferro;654
ASL Roma 6, Distretto H1;773
ASL Roma 6, Distretto H2;804
ASL Roma 6, Distretto H3;621
ASL Roma 6, Distretto H4;623
ASL Roma 6, Distretto H5;503
ASL Roma 6, Distretto H6;773
ASL Viterbo, Distretto A;1033
ASL Viterbo, Distretto B;824
ASL Viterbo, Distretto C;928
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;1083
ASL Rieti, Distretto 2 - Salario-Mirtense;615
ASL Latina, Distretto 1 - Aprilia-Cisterna;829
ASL Latina, Distretto 2 - Latina;1337
ASL Latina, Distretto 3 - Monti Lepini;504
ASL Latina, Distretto 4 - Fondi-Terracina;913
ASL Latina, Distretto 5 - Formia-Gaeta;1103
ASL Frosinone, Distretto A - Alatri-Anagni;704
ASL Frosinone, Distretto B - Frosinone;1705
ASL Frosinone, Distretto C - Sora;1070
ASL Frosinone, Distretto D - Cassino - Pontecorvo;1124

COMUNE;2022
Accumoli;10
Acquafondata;5
Acquapendente;59
Acuto;11
Affile;17
Agosta;21
Alatri;176
Albano Laziale;307
Allumiere;29
Alvito;32
Amaseno;29
Amatrice;42
Anagni;181
Anguillara Sabazia;134
Anticoli Corrado;5
Antrodoco;23
Anzio;406
Aprilia;478
Aquino;34
Arce;71
Arcinazzo Romano;12
Ardea;258
Ariccia;143
Arlena Di Castro;10
Arnara;24
Arpino;92
Arsoli;19
Artena;99
Ascrea;(*)
Atina;55
Ausonia;34
Bagnoregio;56
Barbarano Romano;9
Bassano In Teverina;13
Bassano Romano;49
Bassiano;23
Bellegra;23
Belmonte Castello;9
Belmonte In Sabina;6
Blera;35
Bolsena;35
Bomarzo;17
Borbona;15
Borgo Velino;11
Borgorose;62
Boville Ernica;80
Bracciano;167
Broccostella;21
Calcata;8
Camerata Nuova;4
Campagnano Di Roma;66
Campodimele;11
Campoli Appennino;16
Canale Monterano;27
Canepina;30
Canino;53
Cantalice;24
Cantalupo In Sabina;23
Canterano;(*)
Capena;48
Capodimonte;33
Capranica;36
Capranica Prenestina;5
Caprarola;50
Carbognano;16
Carpineto Romano;69
Casalattico;6
Casalvieri;34
Casape;5
Casaprota;11
Casperia;4
Cassino;295
Castel Di Tora;5
Castel Gandolfo;70
Castel Madama;61
Castel San Pietro Romano;5
Castel Sant'Angelo;16
Castel Sant'Elia;14
Castelforte;29
Castelliri;29
Castelnuovo Di Farfa;7
Castelnuovo Di Porto;62
Castelnuovo Parano;17
Castiglione In Teverina;22
Castro Dei Volsci;47
Castrocielo;40
Cave;59
Ceccano;214
Celleno;12
Cellere;24
Ceprano;102
Cerreto Laziale;12
Cervara Di Roma;7
Cervaro;67
Cerveteri;290
Ciampino;328
Ciciliano;10
Cineto Romano;11
Cisterna Di Latina;242
Cittaducale;57
Cittareale;11
Civita Castellana;112
Civitavecchia;429
Civitella D'Agliano;14
Civitella San Paolo;11
Colfelice;20
Collalto Sabino;6
Colle Di Tora;4
Colle San Magno;12
Colleferro;200
Collegiove;(*)
Collepardo;5
Collevecchio;18
Colli Sul Velino;7
Colonna;40
Concerviano;9
Configni;(*)
Contigliano;43
Corchiano;26
Coreno Ausonio;19
Cori;93
Cottanello;4
Esperia;43
Fabrica Di Roma;45
Faleria;18
Falvaterra;(*)
Fara In Sabina;113
Farnese;16
Ferentino;170
Fiamignano;21
Fiano Romano;86
Filacciano;0
Filettino;9
Fiuggi;82
Fiumicino;472
Fondi;275
Fontana Liri;31
Fonte Nuova;180
Fontechiari;12
Forano;36
Formello;82
Formia;393
Frascati;217
Frasso Sabino;9
Frosinone;413
Fumone;22
Gaeta;248
Gallese;29
Gallicano Nel Lazio;39
Gallinaro;11
Gavignano;18
Genazzano;44
Genzano Di Roma;196
Gerano;12
Giuliano Di Roma;25
Gorga;10
Gradoli;23
Graffignano;23
Greccio;21
Grottaferrata;192
Grotte Di Castro;23
Guarcino;15
Guidonia Montecelio;497
Ischia Di Castro;20
Isola Del Liri;147
Itri;103
Jenne;7
Labico;35
Labro;(*)
Ladispoli;291
Lanuvio;75
Lariano;77
Latera;18
Latina;1001
Lenola;53
Leonessa;27
Licenza;10
Longone Sabino;12
Lubriano;9
Maenza;21
Magliano Romano;5
