Gruppo patologie: Dati di prevalenza Broncopneumopatia Cronica Ostruttiva
Genere: Maschi
Classi età: 55-59
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;4652
ROMA;2044
ASL Roma 1;697
ASL Roma 2;938
ASL Roma 3;472
ASL Roma 4;271
ASL Roma 5;455
ASL Roma 6;546
ASL Frosinone;401
ASL Latina;513
ASL Rieti;109
ASL Viterbo;250

DISTRETTO;2022

ASL Roma 1, Distretto 01;134
ASL Roma 1, Distretto 02;105
ASL Roma 1, Distretto 03;152
ASL Roma 1, Distretto 13;86
ASL Roma 1, Distretto 14;125
ASL Roma 1, Distretto 15;95
ASL Roma 2, Distretto 04;121
ASL Roma 2, Distretto 05;184
ASL Roma 2, Distretto 06;221
ASL Roma 2, Distretto 07;204
ASL Roma 2, Distretto 08;95
ASL Roma 2, Distretto 09;113
ASL Roma 3, Municipio X;188
ASL Roma 3, Municipio XI;116
ASL Roma 3, Municipio XII;105
ASL Roma 3, Fiumicino;63
ASL Roma 4, Distretto F1;60
ASL Roma 4, Distretto F2;70
ASL Roma 4, Distretto F3;45
ASL Roma 4, Distretto F4;96
ASL Roma 5, Distretto G1-Mentana-Monterotondo;98
ASL Roma 5, Distretto G2-Guidonia;126
ASL Roma 5, Distretto G3-Tivoli;74
ASL Roma 5, Distretto G4-Subiaco;31
ASL Roma 5, Distretto G5-Palestrina;62
ASL Roma 5, Distretto G6-Colleferro;64
ASL Roma 6, Distretto H1;90
ASL Roma 6, Distretto H2;89
ASL Roma 6, Distretto H3;78
ASL Roma 6, Distretto H4;96
ASL Roma 6, Distretto H5;110
ASL Roma 6, Distretto H6;83
ASL Viterbo, Distretto A;60
ASL Viterbo, Distretto B;83
ASL Viterbo, Distretto C;107
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;57
ASL Rieti, Distretto 2 - Salario-Mirtense;52
ASL Latina, Distretto 1 - Aprilia-Cisterna;100
ASL Latina, Distretto 2 - Latina;173
ASL Latina, Distretto 3 - Monti Lepini;54
ASL Latina, Distretto 4 - Fondi-Terracina;94
ASL Latina, Distretto 5 - Formia-Gaeta;92
ASL Frosinone, Distretto A - Alatri-Anagni;82
ASL Frosinone, Distretto B - Frosinone;157
ASL Frosinone, Distretto C - Sora;61
ASL Frosinone, Distretto D - Cassino - Pontecorvo;101

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;7
Acuto;(*)
Affile;(*)
Agosta;(*)
Alatri;24
Albano Laziale;25
Allumiere;(*)
Alvito;0
Amaseno;8
Amatrice;(*)
Anagni;20
Anguillara Sabazia;17
Anticoli Corrado;(*)
Antrodoco;(*)
Anzio;42
Aprilia;53
Aquino;4
Arce;7
Arcinazzo Romano;(*)
Ardea;51
Ariccia;15
Arlena Di Castro;0
Arnara;(*)
Arpino;4
Arsoli;(*)
Artena;8
Ascrea;0
Atina;(*)
Ausonia;(*)
Bagnoregio;4
Barbarano Romano;0
Bassano In Teverina;(*)
Bassano Romano;4
Bassiano;(*)
Bellegra;(*)
Belmonte Castello;0
Belmonte In Sabina;0
Blera;4
Bolsena;0
Bomarzo;(*)
Borbona;0
Borgo Velino;(*)
Borgorose;4
Boville Ernica;9
Bracciano;14
Broccostella;(*)
Calcata;(*)
Camerata Nuova;0
Campagnano Di Roma;12
Campodimele;0
Campoli Appennino;(*)
Canale Monterano;(*)
Canepina;6
Canino;(*)
Cantalice;(*)
Cantalupo In Sabina;(*)
Canterano;0
Capena;13
Capodimonte;0
Capranica;7
Capranica Prenestina;(*)
Caprarola;(*)
Carbognano;(*)
Carpineto Romano;(*)
Casalattico;0
Casalvieri;0
Casape;(*)
Casaprota;(*)
Casperia;0
Cassino;35
Castel Di Tora;0
Castel Gandolfo;4
Castel Madama;6
Castel San Pietro Romano;(*)
