"DENOMINAZI","mar_male_pop","mar_fem_pop","mar_hpt_pop","mar_nohpt_pop","mar_hf_pop","mar_nohf_pop","mar_00_29","mar_30_59","mar_60_100"
"FROSINONE",243308,250758,116071,377995,7927,486139,134924,207877,151265
"LATINA",309924,310233,121945,498212,9701,610456,179444,274221,166492
"RIETI",82150,82212,37389,126973,3290,161072,42396,69485,52481
"ROMA_1",524383,599352,190739,932996,15951,1107784,292185,504440,327110
"ROMA_2",673619,721182,260122,1134679,20488,1374313,384377,630097,380327
"ROMA_3",314855,344470,117242,542083,9141,650184,182891,298000,178434
"ROMA_4",175639,183637,64012,295264,4695,354581,100841,163712,94723
"ROMA_5",272590,277664,104506,445748,7869,542385,161705,250328,138221
"ROMA_6",310109,318332,115049,513392,9449,618992,178546,286258,163637
"VITERBO",166470,172137,66370,272237,5415,333192,87906,147670,103031
