"DENOMINAZI","eta_range","man_r","fem_r","hpt_man_r","male_nohpt_r","hpt_fem_r","fem_nohpt_r","hf_male_r","male_nohf_r","hf_fem_r","fem_nohf_r","hptyes_r","hptno_r","hfyes_r","hfno_r","mar_ageASL_r","mar_male_pop","mar_fem_pop","mar_hpt_pop","mar_nohpt_pop","mar_hf_pop","mar_nohf_pop","mar_00_29","mar_30_59","mar_60_100"
"FROSINONE","00_29",70390,64534,183,70207,116,64418,23,70367,9,64525,299,134625,32,134892,134924,243308,250758,116071,377995,7927,486139,134924,207877,151265
"FROSINONE","30_59",103520,104357,14195,89325,11371,92986,475,103045,173,104184,25566,182311,648,207229,207877,243308,250758,116071,377995,7927,486139,134924,207877,151265
"FROSINONE","60_100",69398,81867,41030,28368,49176,32691,3515,65883,3732,78135,90206,61059,7247,144018,151265,243308,250758,116071,377995,7927,486139,134924,207877,151265
"LATINA","00_29",93916,85528,249,93667,150,85378,31,93885,13,85515,399,179045,44,179400,179444,309924,310233,121945,498212,9701,610456,179444,274221,166492
"LATINA","30_59",139819,134402,15331,124488,11707,122695,665,139154,330,134072,27038,247183,995,273226,274221,309924,310233,121945,498212,9701,610456,179444,274221,166492
"LATINA","60_100",76189,90303,43331,32858,51177,39126,4251,71938,4411,85892,94508,71984,8662,157830,166492,309924,310233,121945,498212,9701,610456,179444,274221,166492
"RIETI","00_29",22768,19628,61,22707,15,19613,0,22768,0,19628,76,42320,0,42396,42396,82150,82212,37389,126973,3290,161072,42396,69485,52481
"RIETI","30_59",35150,34335,4552,30598,3327,31008,178,34972,76,34259,7879,61606,254,69231,69485,82150,82212,37389,126973,3290,161072,42396,69485,52481
"RIETI","60_100",24232,28249,13830,10402,15604,12645,1526,22706,1510,26739,29434,23047,3036,49445,52481,82150,82212,37389,126973,3290,161072,42396,69485,52481
"ROMA 1","00_29",150927,141258,363,150564,178,141080,45,150882,34,141224,541,291644,79,292106,292185,524383,599352,190739,932996,15951,1107784,292185,504440,327110
"ROMA 1","30_59",237760,266680,20650,217110,14825,251855,916,236844,392,266288,35475,468965,1308,503132,504440,524383,599352,190739,932996,15951,1107784,292185,504440,327110
"ROMA 1","60_100",135696,191414,68116,67580,86607,104807,7111,128585,7453,183961,154723,172387,14564,312546,327110,524383,599352,190739,932996,15951,1107784,292185,504440,327110
"ROMA 2","00_29",199875,184502,525,199350,277,184225,77,199798,40,184462,802,383575,117,384260,384377,673619,721182,260122,1134679,20488,1374313,384377,630097,380327
"ROMA 2","30_59",310946,319151,31495,279451,22021,297130,1223,309723,566,318585,53516,576581,1789,628308,630097,673619,721182,260122,1134679,20488,1374313,384377,630097,380327
"ROMA 2","60_100",162798,217529,91613,71185,114191,103338,8922,153876,9660,207869,205804,174523,18582,361745,380327,673619,721182,260122,1134679,20488,1374313,384377,630097,380327
"ROMA 3","00_29",94806,88085,241,94565,138,87947,31,94775,21,88064,379,182512,52,182839,182891,314855,344470,117242,542083,9141,650184,182891,298000,178434
"ROMA 3","30_59",144156,153844,14129,130027,10197,143647,605,143551,215,153629,24326,273674,820,297180,298000,314855,344470,117242,542083,9141,650184,182891,298000,178434
"ROMA 3","60_100",75893,102541,41089,34804,51448,51093,4158,71735,4111,98430,92537,85897,8269,170165,178434,314855,344470,117242,542083,9141,650184,182891,298000,178434
"ROMA 4","00_29",52312,48529,119,52193,79,48450,12,52300,6,48523,198,100643,18,100823,100841,175639,183637,64012,295264,4695,354581,100841,163712,94723
"ROMA 4","30_59",80021,83691,8380,71641,6012,77679,340,79681,127,83564,14392,149320,467,163245,163712,175639,183637,64012,295264,4695,354581,100841,163712,94723
"ROMA 4","60_100",43306,51417,23332,19974,26090,25327,2196,41110,2014,49403,49422,45301,4210,90513,94723,175639,183637,64012,295264,4695,354581,100841,163712,94723
"ROMA 5","00_29",83989,77716,213,83776,134,77582,24,83965,5,77711,347,161358,29,161676,161705,272590,277664,104506,445748,7869,542385,161705,250328,138221
"ROMA 5","30_59",125241,125087,14472,110769,10930,114157,558,124683,238,124849,25402,224926,796,249532,250328,272590,277664,104506,445748,7869,542385,161705,250328,138221
"ROMA 5","60_100",63360,74861,36425,26935,42332,32529,3487,59873,3557,71304,78757,59464,7044,131177,138221,272590,277664,104506,445748,7869,542385,161705,250328,138221
"ROMA 6","00_29",92374,86172,231,92143,139,86033,23,92351,21,86151,370,178176,44,178502,178546,310109,318332,115049,513392,9449,618992,178546,286258,163637
"ROMA 6","30_59",143208,143050,15151,128057,10862,132188,680,142528,282,142768,26013,260245,962,285296,286258,310109,318332,115049,513392,9449,618992,178546,286258,163637
"ROMA 6","60_100",74527,89110,41414,33113,47252,41858,4307,70220,4136,84974,88666,74971,8443,155194,163637,310109,318332,115049,513392,9449,618992,178546,286258,163637
"VITERBO","00_29",45795,42111,91,45704,45,42066,5,45790,4,42107,136,87770,9,87897,87906,166470,172137,66370,272237,5415,333192,87906,147670,103031
"VITERBO","30_59",73838,73832,7712,66126,5224,68608,298,73540,122,73710,12936,134734,420,147250,147670,166470,172137,66370,272237,5415,333192,87906,147670,103031
"VITERBO","60_100",46837,56194,25007,21830,28291,27903,2590,44247,2396,53798,53298,49733,4986,98045,103031,166470,172137,66370,272237,5415,333192,87906,147670,103031
