"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL"
"FROSINONE","""00-04""",8065,8295,600,603,8665,8898,17563,250758,243308,494066,494066
"FROSINONE","""05-09""",9711,9980,623,671,10334,10651,20985,250758,243308,494066,494066
"FROSINONE","""10-14""",10330,11013,600,640,10930,11653,22583,250758,243308,494066,494066
"FROSINONE","""15-19""",10304,10898,510,581,10814,11479,22293,250758,243308,494066,494066
"FROSINONE","""20-24""",10468,12038,691,1425,11159,13463,24622,250758,243308,494066,494066
"FROSINONE","""25-29""",11736,12779,896,1467,12632,14246,26878,250758,243308,494066,494066
"FROSINONE","""30-34""",12962,13914,1157,1403,14119,15317,29436,250758,243308,494066,494066
"FROSINONE","""35-39""",13980,14668,1182,1265,15162,15933,31095,250758,243308,494066,494066
"FROSINONE","""40-44""",15766,15787,1149,1126,16915,16913,33828,250758,243308,494066,494066
"FROSINONE","""45-49""",17862,17530,1092,866,18954,18396,37350,250758,243308,494066,494066
"FROSINONE","""50-54""",18569,17971,1028,709,19597,18680,38277,250758,243308,494066,494066
"FROSINONE","""55-59""",18938,17851,672,430,19610,18281,37891,250758,243308,494066,494066
"FROSINONE","""60-64""",17348,16371,541,298,17889,16669,34558,250758,243308,494066,494066
"FROSINONE","""65-69""",15878,15072,351,177,16229,15249,31478,250758,243308,494066,494066
"FROSINONE","""70-74""",15446,14546,222,93,15668,14639,30307,250758,243308,494066,494066
"FROSINONE","""75-79""",10691,9108,93,52,10784,9160,19944,250758,243308,494066,494066
"FROSINONE","""80-84""",9739,7447,57,46,9796,7493,17289,250758,243308,494066,494066
"FROSINONE","""85-100""",11461,6167,40,21,11501,6188,17689,250758,243308,494066,494066
"LATINA","""00-04""",10466,11133,1540,1711,12006,12844,24850,310233,309924,620157,620157
"LATINA","""05-09""",12414,13133,1585,1786,13999,14919,28918,310233,309924,620157,620157
"LATINA","""10-14""",13526,14205,1357,1500,14883,15705,30588,310233,309924,620157,620157
"LATINA","""15-19""",13202,13819,1072,1242,14274,15061,29335,310233,309924,620157,620157
"LATINA","""20-24""",13275,15034,1149,2129,14424,17163,31587,310233,309924,620157,620157
"LATINA","""25-29""",14285,15742,1657,2482,15942,18224,34166,310233,309924,620157,620157
"LATINA","""30-34""",15892,16637,2483,3184,18375,19821,38196,310233,309924,620157,620157
"LATINA","""35-39""",16731,18233,2612,3749,19343,21982,41325,310233,309924,620157,620157
"LATINA","""40-44""",19231,20097,2639,3571,21870,23668,45538,310233,309924,620157,620157
"LATINA","""45-49""",22927,23286,2379,2882,25306,26168,51474,310233,309924,620157,620157
"LATINA","""50-54""",23437,22965,2106,2186,25543,25151,50694,310233,309924,620157,620157
"LATINA","""55-59""",22632,21877,1333,1152,23965,23029,46994,310233,309924,620157,620157
"LATINA","""60-64""",19289,18014,941,692,20230,18706,38936,310233,309924,620157,620157
"LATINA","""65-69""",16998,15910,466,326,17464,16236,33700,310233,309924,620157,620157
"LATINA","""70-74""",17217,15503,285,147,17502,15650,33152,310233,309924,620157,620157
"LATINA","""75-79""",12445,10543,112,64,12557,10607,23164,310233,309924,620157,620157
"LATINA","""80-84""",11085,8476,79,38,11164,8514,19678,310233,309924,620157,620157
"LATINA","""85-100""",11334,6446,52,30,11386,6476,17862,310233,309924,620157,620157
"RIETI","""00-04""",2147,2446,255,309,2402,2755,5157,82212,82150,164362,164362
"RIETI","""05-09""",2662,2864,299,336,2961,3200,6161,82212,82150,164362,164362
"RIETI","""10-14""",3045,3216,297,316,3342,3532,6874,82212,82150,164362,164362
"RIETI","""15-19""",3051,3445,249,326,3300,3771,7071,82212,82150,164362,164362
"RIETI","""20-24""",3326,3693,300,609,3626,4302,7928,82212,82150,164362,164362
"RIETI","""25-29""",3583,4372,414,836,3997,5208,9205,82212,82150,164362,164362
"RIETI","""30-34""",3757,4318,538,894,4295,5212,9507,82212,82150,164362,164362
