Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Maschi
Classi età: 30-34
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;528
ROMA;274
ASL Roma 1;83
ASL Roma 2;141
ASL Roma 3;54
ASL Roma 4;24
ASL Roma 5;44
ASL Roma 6;63
ASL Frosinone;44
ASL Latina;39
ASL Rieti;12
ASL Viterbo;24

DISTRETTO;2022

ASL Roma 1, Distretto 01;8
ASL Roma 1, Distretto 02;17
ASL Roma 1, Distretto 03;10
ASL Roma 1, Distretto 13;10
ASL Roma 1, Distretto 14;24
ASL Roma 1, Distretto 15;14
ASL Roma 2, Distretto 04;8
ASL Roma 2, Distretto 05;36
ASL Roma 2, Distretto 06;40
ASL Roma 2, Distretto 07;24
ASL Roma 2, Distretto 08;19
ASL Roma 2, Distretto 09;14
ASL Roma 3, Municipio X;23
ASL Roma 3, Municipio XI;19
ASL Roma 3, Municipio XII;8
ASL Roma 3, Fiumicino;4
ASL Roma 4, Distretto F1;6
ASL Roma 4, Distretto F2;7
ASL Roma 4, Distretto F3;(*)
ASL Roma 4, Distretto F4;8
ASL Roma 5, Distretto G1-Mentana-Monterotondo;10
ASL Roma 5, Distretto G2-Guidonia;10
ASL Roma 5, Distretto G3-Tivoli;8
ASL Roma 5, Distretto G4-Subiaco;(*)
ASL Roma 5, Distretto G5-Palestrina;10
ASL Roma 5, Distretto G6-Colleferro;4
ASL Roma 6, Distretto H1;6
ASL Roma 6, Distretto H2;18
ASL Roma 6, Distretto H3;12
ASL Roma 6, Distretto H4;10
ASL Roma 6, Distretto H5;6
ASL Roma 6, Distretto H6;11
ASL Viterbo, Distretto A;11
ASL Viterbo, Distretto B;6
ASL Viterbo, Distretto C;7
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;6
ASL Rieti, Distretto 2 - Salario-Mirtense;6
ASL Latina, Distretto 1 - Aprilia-Cisterna;9
ASL Latina, Distretto 2 - Latina;13
ASL Latina, Distretto 3 - Monti Lepini;7
ASL Latina, Distretto 4 - Fondi-Terracina;6
ASL Latina, Distretto 5 - Formia-Gaeta;4
ASL Frosinone, Distretto A - Alatri-Anagni;5
ASL Frosinone, Distretto B - Frosinone;15
ASL Frosinone, Distretto C - Sora;10
ASL Frosinone, Distretto D - Cassino - Pontecorvo;14

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;(*)
Acuto;0
Affile;0
Agosta;0
Alatri;(*)
Albano Laziale;6
Allumiere;0
Alvito;0
Amaseno;0
Amatrice;0
Anagni;0
Anguillara Sabazia;(*)
Anticoli Corrado;0
Antrodoco;0
Anzio;4
Aprilia;(*)
Aquino;0
Arce;0
Arcinazzo Romano;0
Ardea;(*)
Ariccia;(*)
Arlena Di Castro;0
Arnara;0
Arpino;(*)
Arsoli;0
Artena;0
Ascrea;0
Atina;(*)
Ausonia;0
Bagnoregio;0
Barbarano Romano;(*)
Bassano In Teverina;0
Bassano Romano;0
Bassiano;0
Bellegra;0
Belmonte Castello;0
Belmonte In Sabina;0
Blera;0
Bolsena;0
Bomarzo;0
Borbona;0
Borgo Velino;0
Borgorose;(*)
Boville Ernica;(*)
Bracciano;0
Broccostella;0
Calcata;0
Camerata Nuova;0
Campagnano Di Roma;(*)
Campodimele;0
Campoli Appennino;0
Canale Monterano;0
Canepina;(*)
Canino;(*)
Cantalice;0
Cantalupo In Sabina;0
Canterano;0
Capena;(*)
Capodimonte;0
Capranica;(*)
Capranica Prenestina;0
Caprarola;(*)
Carbognano;0
Carpineto Romano;(*)
Casalattico;0
Casalvieri;0
Casape;(*)
Casaprota;0
Casperia;0
Cassino;6
Castel Di Tora;0
Castel Gandolfo;(*)
Castel Madama;0
Castel San Pietro Romano;0
Castel Sant'Angelo;0
Castel Sant'Elia;0
Castelforte;0
Castelliri;0
Castelnuovo Di Farfa;(*)
Castelnuovo Di Porto;(*)
Castelnuovo Parano;(*)
Castiglione In Teverina;(*)
Castro Dei Volsci;0
Castrocielo;(*)
Cave;(*)
Ceccano;(*)
Celleno;(*)
Cellere;0
Ceprano;(*)
Cerreto Laziale;0
Cervara Di Roma;0
Cervaro;(*)
Cerveteri;4
Ciampino;7
Ciciliano;0
Cineto Romano;0
Cisterna Di Latina;6
Cittaducale;0
Cittareale;0
Civita Castellana;0
Civitavecchia;(*)
Civitella D'Agliano;0
Civitella San Paolo;0
Colfelice;0
Collalto Sabino;0
Colle Di Tora;0
Colle San Magno;0
Colleferro;(*)
Collegiove;0
Collepardo;0
Collevecchio;0
Colli Sul Velino;0
Colonna;0
Concerviano;0
Configni;0
Contigliano;0
Corchiano;0
Coreno Ausonio;0
Cori;0
Cottanello;0
Esperia;0
Fabrica Di Roma;(*)
Faleria;0
Falvaterra;0
Fara In Sabina;(*)
Farnese;0
Ferentino;(*)
Fiamignano;0
Fiano Romano;(*)
Filacciano;0
Filettino;0
Fiuggi;0
Fiumicino;4
Fondi;4
Fontana Liri;(*)
Fonte Nuova;(*)
Fontechiari;0
Forano;(*)
Formello;0
Formia;(*)
Frascati;(*)
Frasso Sabino;0
Frosinone;4
Fumone;0
Gaeta;(*)
Gallese;0
Gallicano Nel Lazio;(*)
Gallinaro;0
Gavignano;0
Genazzano;0
Genzano Di Roma;5
Gerano;0
Giuliano Di Roma;(*)
Gorga;0
Gradoli;0
Graffignano;(*)
Greccio;0
Grottaferrata;0
Grotte Di Castro;(*)
Guarcino;(*)
Guidonia Montecelio;6
Ischia Di Castro;0
Isola Del Liri;(*)
Itri;0
Jenne;0
Labico;0
Labro;0
Ladispoli;(*)
