Gruppo patologie: Dati di prevalenza Scompenso cardiaco
Genere: Maschi
Classi età: 60-64
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;4005
ROMA;1735
ASL Roma 1;592
ASL Roma 2;824
ASL Roma 3;374
ASL Roma 4;234
ASL Roma 5;387
ASL Roma 6;480
ASL Frosinone;365
ASL Latina;387
ASL Rieti;123
ASL Viterbo;239

DISTRETTO;2022

ASL Roma 1, Distretto 01;83
ASL Roma 1, Distretto 02;73
ASL Roma 1, Distretto 03;100
ASL Roma 1, Distretto 13;100
ASL Roma 1, Distretto 14;144
ASL Roma 1, Distretto 15;92
ASL Roma 2, Distretto 04;116
ASL Roma 2, Distretto 05;155
ASL Roma 2, Distretto 06;182
ASL Roma 2, Distretto 07;170
ASL Roma 2, Distretto 08;99
ASL Roma 2, Distretto 09;102
ASL Roma 3, Municipio X;129
ASL Roma 3, Municipio XI;102
ASL Roma 3, Municipio XII;88
ASL Roma 3, Fiumicino;55
ASL Roma 4, Distretto F1;52
ASL Roma 4, Distretto F2;42
ASL Roma 4, Distretto F3;37
ASL Roma 4, Distretto F4;103
ASL Roma 5, Distretto G1-Mentana-Monterotondo;78
ASL Roma 5, Distretto G2-Guidonia;79
ASL Roma 5, Distretto G3-Tivoli;62
ASL Roma 5, Distretto G4-Subiaco;28
ASL Roma 5, Distretto G5-Palestrina;76
ASL Roma 5, Distretto G6-Colleferro;64
ASL Roma 6, Distretto H1;65
ASL Roma 6, Distretto H2;68
ASL Roma 6, Distretto H3;51
ASL Roma 6, Distretto H4;109
ASL Roma 6, Distretto H5;72
ASL Roma 6, Distretto H6;115
ASL Viterbo, Distretto A;66
ASL Viterbo, Distretto B;58
ASL Viterbo, Distretto C;115
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;66
ASL Rieti, Distretto 2 - Salario-Mirtense;57
ASL Latina, Distretto 1 - Aprilia-Cisterna;76
ASL Latina, Distretto 2 - Latina;103
ASL Latina, Distretto 3 - Monti Lepini;55
ASL Latina, Distretto 4 - Fondi-Terracina;80
ASL Latina, Distretto 5 - Formia-Gaeta;73
ASL Frosinone, Distretto A - Alatri-Anagni;69
ASL Frosinone, Distretto B - Frosinone;133
ASL Frosinone, Distretto C - Sora;75
ASL Frosinone, Distretto D - Cassino - Pontecorvo;88

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;6
Acuto;(*)
Affile;0
Agosta;(*)
Alatri;21
Albano Laziale;19
Allumiere;4
Alvito;(*)
Amaseno;(*)
Amatrice;(*)
Anagni;9
Anguillara Sabazia;10
Anticoli Corrado;0
Antrodoco;(*)
Anzio;48
Aprilia;41
Aquino;(*)
Arce;(*)
Arcinazzo Romano;(*)
Ardea;57
Ariccia;12
Arlena Di Castro;0
Arnara;(*)
Arpino;4
Arsoli;(*)
Artena;9
Ascrea;0
Atina;(*)
Ausonia;(*)
Bagnoregio;0
Barbarano Romano;0
Bassano In Teverina;(*)
Bassano Romano;(*)
Bassiano;(*)
Bellegra;(*)
Belmonte Castello;(*)
Belmonte In Sabina;0
Blera;5
Bolsena;7
Bomarzo;(*)
Borbona;0
Borgo Velino;0
Borgorose;(*)
Boville Ernica;8
Bracciano;14
Broccostella;(*)
Calcata;(*)
Camerata Nuova;0
Campagnano Di Roma;17
Campodimele;0
Campoli Appennino;(*)
Canale Monterano;5
Canepina;(*)
Canino;(*)
Cantalice;(*)
Cantalupo In Sabina;(*)
Canterano;(*)
Capena;6
Capodimonte;0
Capranica;(*)
Capranica Prenestina;0
Caprarola;(*)
Carbognano;6
Carpineto Romano;(*)
Casalattico;0
Casalvieri;0
Casape;0
Casaprota;0
Casperia;0
Cassino;22
Castel Di Tora;0
Castel Gandolfo;4
Castel Madama;13
Castel San Pietro Romano;0
Castel Sant'Angelo;0
Castel Sant'Elia;(*)
Castelforte;6
Castelliri;0
Castelnuovo Di Farfa;0
Castelnuovo Di Porto;10
Castelnuovo Parano;0
Castiglione In Teverina;(*)
Castro Dei Volsci;(*)
Castrocielo;(*)
Cave;14
Ceccano;18
Celleno;0
Cellere;(*)
Ceprano;6
Cerreto Laziale;(*)
Cervara Di Roma;0
Cervaro;9
Cerveteri;20
Ciampino;23
Ciciliano;(*)
Cineto Romano;(*)
Cisterna Di Latina;32
Cittaducale;6
Cittareale;(*)
Civita Castellana;16
Civitavecchia;38
Civitella D'Agliano;(*)
Civitella San Paolo;(*)
Colfelice;(*)
Collalto Sabino;0
Colle Di Tora;0
Colle San Magno;0
Colleferro;17
Collegiove;0
Collepardo;(*)
Collevecchio;(*)
Colli Sul Velino;0
Colonna;4
Concerviano;0
Configni;0
Contigliano;4
Corchiano;(*)
Coreno Ausonio;0
Cori;(*)
Cottanello;0
Esperia;(*)
Fabrica Di Roma;11
Faleria;5
Falvaterra;(*)
Fara In Sabina;14
Farnese;(*)
Ferentino;17
Fiamignano;(*)
Fiano Romano;13
Filacciano;(*)
Filettino;(*)
Fiuggi;8
Fiumicino;55
Fondi;24
Fontana Liri;(*)
Fonte Nuova;28
Fontechiari;0
Forano;5
Formello;9
Formia;29
Frascati;18
Frasso Sabino;0
Frosinone;29
Fumone;4
Gaeta;10
Gallese;(*)
Gallicano Nel Lazio;7
Gallinaro;(*)
Gavignano;(*)
Genazzano;5
Genzano Di Roma;21
Gerano;0
Giuliano Di Roma;4
Gorga;(*)
Gradoli;(*)
Graffignano;(*)
Greccio;5
Grottaferrata;10
Grotte Di Castro;0
Guarcino;(*)
Guidonia Montecelio;45
Ischia Di Castro;(*)
Isola Del Liri;12
Itri;8
Jenne;0
Labico;8
Labro;(*)
Ladispoli;22
Lanuvio;10
Lariano;14
Latera;0
Latina;71
Lenola;(*)
Leonessa;(*)
Licenza;(*)
Longone Sabino;(*)
Lubriano;(*)
Maenza;0
Magliano Romano;0
Magliano Sabina;9
Mandela;0
Manziana;4
Marano Equo;(*)
Marcellina;8
Marcetelli;0
Marino;28
Marta;(*)
Mazzano Romano;(*)
Mentana;17
Micigliano;0
Minturno;10
Mompeo;(*)
Montalto Di Castro;(*)
Montasola;0
Monte Porzio Catone;(*)
Monte Romano;0
Monte San Biagio;9
Monte San Giovanni Campano;10
Monte San Giovanni In Sabina;0
Montebuono;0
Montecompatri;7
Montefiascone;(*)
Monteflavio;0
Montelanico;(*)
Monteleone Sabino;(*)
Montelibretti;9
Montenero Sabino;0
Monterosi;6
Monterotondo;33
Montopoli Di Sabina;5
Montorio Romano;5
Moricone;(*)
Morlupo;11
Morolo;(*)
Morro Reatino;0
Nazzano;(*)
Nemi;(*)
Nepi;10
Nerola;0
Nespolo;0
Nettuno;67
Norma;9
Olevano Romano;7
Onano;(*)
Oriolo Romano;0
Orte;(*)
Orvinio;0
Paganico;0
Palestrina;26
Paliano;6
Palombara Sabina;9
Pastena;(*)
Patrica;(*)
Percile;0
Pescorocchiano;(*)
Pescosolido;(*)
Petrella Salto;(*)
Piansano;(*)
Picinisco;(*)
Pico;(*)
Piedimonte San Germano;6
Piglio;7
Pignataro Interamna;(*)
Pisoniano;(*)
Pofi;5
Poggio Bustone;(*)
Poggio Catino;(*)
Poggio Mirteto;(*)
Poggio Moiano;(*)
Poggio Nativo;(*)
Poggio San Lorenzo;0
Poli;6
Pomezia;52
Pontecorvo;9
Pontinia;6
Ponza;(*)
Ponzano Romano;0
Posta;(*)
Posta Fibreno;(*)
Pozzaglia Sabino;0
Priverno;12
Proceno;(*)
Prossedi;0
Riano;7
Rieti;26
Rignano Flaminio;14
Riofreddo;0
Ripi;5
Rivodutri;0
Rocca Canterano;0
Rocca D'Arce;0
Rocca Di Cave;(*)
Rocca Di Papa;18
Rocca Massima;(*)
Rocca Priora;5
Rocca Santo Stefano;(*)
Rocca Sinibalda;(*)
Roccagiovine;(*)
Roccagorga;(*)
Roccantica;0
Roccasecca;6
Roccasecca Dei Volsci;0
Roiate;(*)
Roma;1735
Ronciglione;9
Roviano;(*)
Sabaudia;7
Sacrofano;7
Salisano;(*)
Sambuci;(*)
San Biagio Saracinisco;(*)
San Cesareo;13
San Donato Val Di Comino;(*)
San Felice Circeo;7
San Giorgio A Liri;4
San Giovanni Incarico;4
San Gregorio Da Sassola;(*)
San Lorenzo Nuovo;(*)
San Polo Dei Cavalieri;(*)
San Vito Romano;(*)
San Vittore Del Lazio;4
Sant'Ambrogio Sul Garigliano;(*)
Sant'Andrea Del Garigliano;0
Sant'Angelo Romano;(*)
Sant'Apollinare;(*)
Sant'Elia Fiumerapido;4
Sant'Oreste;(*)
Santa Marinella;8
Santi Cosma E Damiano;4
Santopadre;(*)
Saracinesco;0
Scandriglia;4
Segni;5
Selci;(*)
Sermoneta;10
Serrone;(*)
Settefrati;0
Sezze;27
Sgurgola;(*)
Sonnino;10
Sora;20
Soriano Nel Cimino;8
Sperlonga;(*)
Spigno Saturnia;4
Stimigliano;(*)
Strangolagalli;(*)
Subiaco;7
Supino;(*)
Sutri;7
Tarano;0
Tarquinia;11
Terelle;(*)
Terracina;36
Tessennano;0
Tivoli;27
Toffia;(*)
Tolfa;(*)
Torre Cajetani;(*)
Torri In Sabina;(*)
Torrice;(*)
Torricella In Sabina;(*)
Torrita Tiberina;(*)
Trevi Nel Lazio;(*)
Trevignano Romano;4
Trivigliano;(*)
Turania;0
Tuscania;6
Vacone;0
Valentano;(*)
Vallecorsa;(*)
Vallemaio;(*)
Vallepietra;(*)
Vallerano;8
Vallerotonda;(*)
Vallinfreda;0
Valmontone;18
Varco Sabino;(*)
Vasanello;(*)
Vejano;(*)
Velletri;58
Ventotene;0
Veroli;13
Vetralla;7
Vicalvi;0
Vico Nel Lazio;(*)
Vicovaro;(*)
Vignanello;(*)
Villa Latina;4
Villa San Giovanni In Tuscia;0
Villa Santa Lucia;4
Villa Santo Stefano;0
Viterbo;37
Viticuso;0
Vitorchiano;4
Vivaro Romano;0
Zagarolo;7
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza

Fonte www.opensalutelazio.it
