"DENOMINAZI","classi_eta","hf_fem","hf_male"
"FROSINONE","00_04",9,5
"FROSINONE","05_09",0,0
"FROSINONE","10_14",0,0
"FROSINONE","15_19",0,0
"FROSINONE","20_24",0,10
"FROSINONE","25_29",0,8
"FROSINONE","30_34",0,12
"FROSINONE","35_39",0,12
"FROSINONE","40_44",9,36
"FROSINONE","45_49",29,59
"FROSINONE","50_54",51,117
"FROSINONE","55_59",84,239
"FROSINONE","60_64",163,365
"FROSINONE","65_69",289,442
"FROSINONE","70_74",507,658
"FROSINONE","75_79",540,580
"FROSINONE","80_84",797,707
"FROSINONE","85_100",1436,763
"LATINA","00_04",0,0
"LATINA","05_09",0,4
"LATINA","10_14",5,5
"LATINA","15_19",4,4
"LATINA","20_24",0,9
"LATINA","25_29",4,9
"LATINA","30_34",10,14
"LATINA","35_39",17,24
"LATINA","40_44",21,40
"LATINA","45_49",34,106
"LATINA","50_54",86,179
"LATINA","55_59",162,302
"LATINA","60_64",223,387
"LATINA","65_69",326,563
"LATINA","70_74",573,787
"LATINA","75_79",726,741
"LATINA","80_84",976,857
"LATINA","85_100",1587,916
"RIETI","00_04",0,0
"RIETI","05_09",0,0
"RIETI","10_14",0,0
"RIETI","15_19",0,0
"RIETI","20_24",0,0
"RIETI","25_29",0,0
"RIETI","30_34",0,6
"RIETI","35_39",0,5
"RIETI","40_44",4,11
"RIETI","45_49",17,21
"RIETI","50_54",21,41
"RIETI","55_59",34,94
"RIETI","60_64",65,123
"RIETI","65_69",96,191
"RIETI","70_74",170,274
"RIETI","75_79",206,292
"RIETI","80_84",366,307
"RIETI","85_100",607,339
"ROMA 1","00_04",7,10
"ROMA 1","05_09",4,0
"ROMA 1","10_14",0,0
"ROMA 1","15_19",8,8
"ROMA 1","20_24",7,9
"ROMA 1","25_29",8,18
"ROMA 1","30_34",19,15
"ROMA 1","35_39",9,29
"ROMA 1","40_44",29,57
"ROMA 1","45_49",52,132
"ROMA 1","50_54",86,242
"ROMA 1","55_59",197,441
"ROMA 1","60_64",297,592
"ROMA 1","65_69",458,793
"ROMA 1","70_74",709,1120
"ROMA 1","75_79",1152,1305
"ROMA 1","80_84",1629,1481
"ROMA 1","85_100",3208,1820
"ROMA 2","00_04",15,14
"ROMA 2","05_09",6,7
"ROMA 2","10_14",0,10
"ROMA 2","15_19",0,15
"ROMA 2","20_24",9,16
"ROMA 2","25_29",10,15
"ROMA 2","30_34",7,31
"ROMA 2","35_39",26,39
"ROMA 2","40_44",37,91
"ROMA 2","45_49",73,190
"ROMA 2","50_54",161,331
"ROMA 2","55_59",262,541
"ROMA 2","60_64",390,824
"ROMA 2","65_69",617,1067
"ROMA 2","70_74",979,1399
"ROMA 2","75_79",1459,1535
"ROMA 2","80_84",2164,1826
"ROMA 2","85_100",4051,2271
"ROMA 3","00_04",6,7
"ROMA 3","05_09",0,0
"ROMA 3","10_14",4,4
"ROMA 3","15_19",0,0
"ROMA 3","20_24",4,14
"ROMA 3","25_29",7,6
"ROMA 3","30_34",5,11
"ROMA 3","35_39",5,16
"ROMA 3","40_44",12,28
"ROMA 3","45_49",26,82
"ROMA 3","50_54",63,163
"ROMA 3","55_59",104,305
"ROMA 3","60_64",168,374
"ROMA 3","65_69",226,464
"ROMA 3","70_74",391,661
"ROMA 3","75_79",708,766
"ROMA 3","80_84",1015,873
"ROMA 3","85_100",1603,1020
"ROMA 4","00_04",6,7
"ROMA 4","05_09",0,0
"ROMA 4","10_14",0,0
"ROMA 4","15_19",0,0
"ROMA 4","20_24",0,0
"ROMA 4","25_29",0,5
"ROMA 4","30_34",0,5
"ROMA 4","35_39",6,8
"ROMA 4","40_44",7,19
"ROMA 4","45_49",22,48
"ROMA 4","50_54",31,96
"ROMA 4","55_59",61,164
"ROMA 4","60_64",82,234
"ROMA 4","65_69",161,300
"ROMA 4","70_74",262,400
"ROMA 4","75_79",378,424
"ROMA 4","80_84",443,441
"ROMA 4","85_100",688,397
"ROMA 5","00_04",0,5
"ROMA 5","05_09",0,0
"ROMA 5","10_14",0,4
"ROMA 5","15_19",0,5
"ROMA 5","20_24",5,5
"ROMA 5","25_29",0,5
"ROMA 5","30_34",4,13
"ROMA 5","35_39",10,18
"ROMA 5","40_44",15,31
"ROMA 5","45_49",24,88
"ROMA 5","50_54",69,147
"ROMA 5","55_59",116,261
"ROMA 5","60_64",159,387
"ROMA 5","65_69",267,496
"ROMA 5","70_74",446,619
"ROMA 5","75_79",627,615
"ROMA 5","80_84",803,711
"ROMA 5","85_100",1255,659
"ROMA 6","00_04",6,7
"ROMA 6","05_09",4,0
