Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Femmine;
Classi età: 35-39;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;fem
classi_eta;"""35-39"""
AREA;2022
LAZIO;2125
ROMA;869
ASL Roma 1;247
ASL Roma 2;472
ASL Roma 3;183
ASL Roma 4;113
ASL Roma 5;242
ASL Roma 6;202
ASL Frosinone;243
ASL Latina;277
ASL Rieti;56
ASL Viterbo;90
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;26
ASL Roma 1, Distretto 02;42
ASL Roma 1, Distretto 03;65
ASL Roma 1, Distretto 13;34
ASL Roma 1, Distretto 14;49
ASL Roma 1, Distretto 15;31
ASL Roma 2, Distretto 04;61
ASL Roma 2, Distretto 05;123
ASL Roma 2, Distretto 06;122
ASL Roma 2, Distretto 07;90
ASL Roma 2, Distretto 08;26
ASL Roma 2, Distretto 09;50
ASL Roma 3, Municipio X;76
ASL Roma 3, Municipio XI;50
ASL Roma 3, Municipio XII;24
ASL Roma 3, Fiumicino;33
ASL Roma 4, Distretto F1;25
ASL Roma 4, Distretto F2;37
ASL Roma 4, Distretto F3;12
ASL Roma 4, Distretto F4;39
ASL Roma 5, Distretto G1-Mentana-Monterotondo;48
ASL Roma 5, Distretto G2-Guidonia;62
ASL Roma 5, Distretto G3-Tivoli;43
ASL Roma 5, Distretto G4-Subiaco;8
ASL Roma 5, Distretto G5-Palestrina;41
ASL Roma 5, Distretto G6-Colleferro;40
ASL Roma 6, Distretto H1;27
ASL Roma 6, Distretto H2;42
ASL Roma 6, Distretto H3;31
ASL Roma 6, Distretto H4;47
ASL Roma 6, Distretto H5;26
ASL Roma 6, Distretto H6;29
ASL Viterbo, Distretto A;22
ASL Viterbo, Distretto B;29
ASL Viterbo, Distretto C;39
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;31
ASL Rieti, Distretto 2 - Salario-Mirtense;25
ASL Latina, Distretto 1 - Aprilia-Cisterna;54
ASL Latina, Distretto 2 - Latina;88
ASL Latina, Distretto 3 - Monti Lepini;29
ASL Latina, Distretto 4 - Fondi-Terracina;45
ASL Latina, Distretto 5 - Formia-Gaeta;61
ASL Frosinone, Distretto A - Alatri-Anagni;38
ASL Frosinone, Distretto B - Frosinone;91
ASL Frosinone, Distretto C - Sora;54
ASL Frosinone, Distretto D - Cassino - Pontecorvo;60
;
COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;0
Acuto;0
Affile;(*)
Agosta;(*)
Alatri;12
Albano Laziale;13
Allumiere;(*)
Alvito;(*)
Amaseno;(*)
Amatrice;(*)
Anagni;11
Anguillara Sabazia;9
Anticoli Corrado;(*)
Antrodoco;0
Anzio;14
Aprilia;40
Aquino;(*)
Arce;(*)
Arcinazzo Romano;0
Ardea;18
Ariccia;5
Arlena Di Castro;0
Arnara;0
Arpino;(*)
Arsoli;(*)
Artena;12
Ascrea;0
Atina;(*)
Ausonia;0
Bagnoregio;(*)
Barbarano Romano;0
