Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Femmine;
Classi età: 65-69;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;fem
classi_eta;"""65-69"""
AREA;2022
LAZIO;76687
ROMA;33593
ASL Roma 1;11342
ASL Roma 2;16329
ASL Roma 3;6804
ASL Roma 4;3999
ASL Roma 5;7199
ASL Roma 6;7805
ASL Frosinone;8233
ASL Latina;8288
ASL Rieti;2335
ASL Viterbo;4353
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;1662
ASL Roma 1, Distretto 02;1650
ASL Roma 1, Distretto 03;2583
ASL Roma 1, Distretto 13;1528
ASL Roma 1, Distretto 14;2249
ASL Roma 1, Distretto 15;1670
ASL Roma 2, Distretto 04;2442
ASL Roma 2, Distretto 05;3064
ASL Roma 2, Distretto 06;3251
ASL Roma 2, Distretto 07;3775
ASL Roma 2, Distretto 08;1687
ASL Roma 2, Distretto 09;2110
ASL Roma 3, Municipio X;2617
ASL Roma 3, Municipio XI;1745
ASL Roma 3, Municipio XII;1560
ASL Roma 3, Fiumicino;882
ASL Roma 4, Distretto F1;986
ASL Roma 4, Distretto F2;975
ASL Roma 4, Distretto F3;640
ASL Roma 4, Distretto F4;1398
ASL Roma 5, Distretto G1-Mentana-Monterotondo;1380
ASL Roma 5, Distretto G2-Guidonia;1762
ASL Roma 5, Distretto G3-Tivoli;1236
ASL Roma 5, Distretto G4-Subiaco;544
ASL Roma 5, Distretto G5-Palestrina;1134
ASL Roma 5, Distretto G6-Colleferro;1143
ASL Roma 6, Distretto H1;1319
ASL Roma 6, Distretto H2;1550
ASL Roma 6, Distretto H3;1111
ASL Roma 6, Distretto H4;1425
ASL Roma 6, Distretto H5;972
ASL Roma 6, Distretto H6;1428
ASL Viterbo, Distretto A;1491
ASL Viterbo, Distretto B;1195
ASL Viterbo, Distretto C;1667
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;1447
ASL Rieti, Distretto 2 - Salario-Mirtense;888
ASL Latina, Distretto 1 - Aprilia-Cisterna;1688
ASL Latina, Distretto 2 - Latina;2370
ASL Latina, Distretto 3 - Monti Lepini;840
ASL Latina, Distretto 4 - Fondi-Terracina;1654
ASL Latina, Distretto 5 - Formia-Gaeta;1736
ASL Frosinone, Distretto A - Alatri-Anagni;1460
ASL Frosinone, Distretto B - Frosinone;2934
ASL Frosinone, Distretto C - Sora;1751
ASL Frosinone, Distretto D - Cassino - Pontecorvo;2088
;
COMUNE;2022
Accumoli;12
Acquafondata;4
Acquapendente;97
Acuto;23
Affile;21
Agosta;32
Alatri;470
Albano Laziale;589
Allumiere;60
Alvito;50
Amaseno;71
Amatrice;34
Anagni;342
Anguillara Sabazia;251
Anticoli Corrado;18
Antrodoco;60
Anzio;744
Aprilia;969
Aquino;121
Arce;101
Arcinazzo Romano;18
Ardea;627
Ariccia;281
Arlena Di Castro;15
Arnara;46
Arpino;125
Arsoli;33
Artena;193
Ascrea;5
Atina;87
Ausonia;38
