Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Maschi;
Classi età: 80-84;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;man
classi_eta;"""80-84"""
AREA;2022
LAZIO;62369
ROMA;30891
ASL Roma 1;10990
ASL Roma 2;13872
ASL Roma 3;6789
ASL Roma 4;3352
ASL Roma 5;4859
ASL Roma 6;5547
ASL Frosinone;5386
ASL Latina;6086
ASL Rieti;1966
ASL Viterbo;3522
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;1857
ASL Roma 1, Distretto 02;1768
ASL Roma 1, Distretto 03;2374
ASL Roma 1, Distretto 13;1436
ASL Roma 1, Distretto 14;2015
ASL Roma 1, Distretto 15;1540
ASL Roma 2, Distretto 04;2056
ASL Roma 2, Distretto 05;2597
ASL Roma 2, Distretto 06;2026
ASL Roma 2, Distretto 07;3509
ASL Roma 2, Distretto 08;1672
ASL Roma 2, Distretto 09;2012
ASL Roma 3, Municipio X;2444
ASL Roma 3, Municipio XI;1924
ASL Roma 3, Municipio XII;1661
ASL Roma 3, Fiumicino;760
ASL Roma 4, Distretto F1;868
ASL Roma 4, Distretto F2;844
ASL Roma 4, Distretto F3;626
ASL Roma 4, Distretto F4;1014
ASL Roma 5, Distretto G1-Mentana-Monterotondo;843
ASL Roma 5, Distretto G2-Guidonia;1171
ASL Roma 5, Distretto G3-Tivoli;833
ASL Roma 5, Distretto G4-Subiaco;395
ASL Roma 5, Distretto G5-Palestrina;739
ASL Roma 5, Distretto G6-Colleferro;878
ASL Roma 6, Distretto H1;1013
ASL Roma 6, Distretto H2;1021
ASL Roma 6, Distretto H3;803
ASL Roma 6, Distretto H4;981
ASL Roma 6, Distretto H5;655
ASL Roma 6, Distretto H6;1074
ASL Viterbo, Distretto A;1304
ASL Viterbo, Distretto B;960
ASL Viterbo, Distretto C;1258
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;1266
ASL Rieti, Distretto 2 - Salario-Mirtense;700
ASL Latina, Distretto 1 - Aprilia-Cisterna;1213
ASL Latina, Distretto 2 - Latina;1902
ASL Latina, Distretto 3 - Monti Lepini;605
ASL Latina, Distretto 4 - Fondi-Terracina;1175
ASL Latina, Distretto 5 - Formia-Gaeta;1191
ASL Frosinone, Distretto A - Alatri-Anagni;931
ASL Frosinone, Distretto B - Frosinone;1969
