"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL","hf_fem","hf_male","hpt_fem","hpt_male","tot_hpt","tot_nohpt","male_nohpt","fem_nohpt","tot_hf","tot_nohf","male_nohf","fem_nohf","mar_hptASL","mar_nohptASL","mar_hfASL","mar_nohfASL","mar_hptmanASL","mar_nohptmanASL","mar_hptfemASL","mar_nohptfemASL","mar_hfmanASL","mar_nohfmanASL","mar_hffemASL","mar_nohffemASL"
"FROSINONE","00_04",8065,8295,600,603,8665,8898,17563,250758,243308,494066,494066,9,5,6,4,10,17553,8894,8659,14,17549,8893,8656,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","05_09",9711,9980,623,671,10334,10651,20985,250758,243308,494066,494066,0,0,6,7,13,20972,10644,10328,0,20985,10651,10334,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","10_14",10330,11013,600,640,10930,11653,22583,250758,243308,494066,494066,0,0,11,24,35,22548,11629,10919,0,22583,11653,10930,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","15_19",10304,10898,510,581,10814,11479,22293,250758,243308,494066,494066,0,0,22,33,55,22238,11446,10792,0,22293,11479,10814,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","20_24",10468,12038,691,1425,11159,13463,24622,250758,243308,494066,494066,0,10,31,47,78,24544,13416,11128,10,24612,13453,11159,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","25_29",11736,12779,896,1467,12632,14246,26878,250758,243308,494066,494066,0,8,40,68,108,26770,14178,12592,8,26870,14238,12632,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","30_34",12962,13914,1157,1403,14119,15317,29436,250758,243308,494066,494066,0,12,87,188,275,29161,15129,14032,12,29424,15305,14119,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","35_39",13980,14668,1182,1265,15162,15933,31095,250758,243308,494066,494066,0,12,243,397,640,30455,15536,14919,12,31083,15921,15162,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","40_44",15766,15787,1149,1126,16915,16913,33828,250758,243308,494066,494066,9,36,624,1064,1688,32140,15849,16291,45,33783,16877,16906,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","45_49",17862,17530,1092,866,18954,18396,37350,250758,243308,494066,494066,29,59,1642,2384,4026,33324,16012,17312,88,37262,18337,18925,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","50_54",18569,17971,1028,709,19597,18680,38277,250758,243308,494066,494066,51,117,3396,4094,7490,30787,14586,16201,168,38109,18563,19546,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","55_59",18938,17851,672,430,19610,18281,37891,250758,243308,494066,494066,84,239,5379,6068,11447,26444,12213,14231,323,37568,18042,19526,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","60_64",17348,16371,541,298,17889,16669,34558,250758,243308,494066,494066,163,365,6994,7206,14200,20358,9463,10895,528,34030,16304,17726,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","65_69",15878,15072,351,177,16229,15249,31478,250758,243308,494066,494066,289,442,8233,8300,16533,14945,6949,7996,731,30747,14807,15940,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","70_74",15446,14546,222,93,15668,14639,30307,250758,243308,494066,494066,507,658,9861,9226,19087,11220,5413,5807,1165,29142,13981,15161,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","75_79",10691,9108,93,52,10784,9160,19944,250758,243308,494066,494066,540,580,7646,6309,13955,5989,2851,3138,1120,18824,8580,10244,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","80_84",9739,7447,57,46,9796,7493,17289,250758,243308,494066,494066,797,707,7439,5386,12825,4464,2107,2357,1504,15785,6786,8999,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
"FROSINONE","85_100",11461,6167,40,21,11501,6188,17689,250758,243308,494066,494066,1436,763,9003,4603,13606,4083,1585,2498,2199,15490,5425,10065,116071,377995,7927,486139,55408,187900,60663,190095,4013,239295,3914,246844
