Argomento: Popolazione
Classi età: 60-64
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;16
Acquafondata;10
Acquapendente;185
Acuto;92
Affile;54
Agosta;64
Alatri;982
Albano Laziale;1375
Allumiere;152
Alvito;111
Amaseno;126
Amatrice;72
Anagni;714
Anguillara Sabazia;654
Anticoli Corrado;42
Antrodoco;96
Anzio;1931
Aprilia;2330
Aquino;168
Arce;234
Arcinazzo Romano;72
Ardea;1637
Ariccia;682
Arlena Di Castro;31
Arnara;87
Arpino;272
Arsoli;47
Artena;466
Ascrea;7
Atina;164
Ausonia;83
Bagnoregio;154
Barbarano Romano;32
Bassano In Teverina;56
Bassano Romano;182
Bassiano;55
Bellegra;100
Belmonte Castello;28
Belmonte In Sabina;8
Blera;108
Bolsena;137
Bomarzo;57
Borbona;17
Borgo Velino;39
Borgorose;174
Boville Ernica;332
Bracciano;642
Broccostella;105
Calcata;27
Camerata Nuova;20
Campagnano Di Roma;437
Campodimele;18
Campoli Appennino;46
Canale Monterano;154
Canepina;111
Canino;181
Cantalice;99
Cantalupo In Sabina;63
Canterano;16
Capena;309
Capodimonte;83
Capranica;224
Capranica Prenestina;15
Caprarola;190
Carbognano;78
Carpineto Romano;158
Casalattico;19
Casalvieri;110
Casape;22
Casaprota;23
Casperia;46
Cassino;1199
Castel Di Tora;5
Castel Gandolfo;307
Castel Madama;276
Castel San Pietro Romano;47
Castel Sant'Angelo;46
Castel Sant'Elia;93
Castelforte;130
Castelliri;102
Castelnuovo Di Farfa;38
Castelnuovo Di Porto;319
Castelnuovo Parano;40
Castiglione In Teverina;84
Castro Dei Volsci;146
Castrocielo;141
Cave;428
Ceccano;784
Celleno;64
Cellere;54
Ceprano;302
Cerreto Laziale;35
Cervara Di Roma;21
Cervaro;277
Cerveteri;1328
Ciampino;1389
Ciciliano;48
Cineto Romano;15
Cisterna Di Latina;1226
Cittaducale;226
Cittareale;15
Civita Castellana;550
Civitavecchia;1740
Civitella D'Agliano;72
Civitella San Paolo;68
Colfelice;61
Collalto Sabino;17
Colle Di Tora;10
Colle San Magno;18
Colleferro;728
Collegiove;4
Collepardo;21
Collevecchio;62
Colli Sul Velino;20
Colonna;136
Concerviano;12
Configni;18
Contigliano;111
Corchiano;113
Coreno Ausonio;50
Cori;360
Cottanello;22
Esperia;145
Fabrica Di Roma;316
Faleria;82
Falvaterra;22
Fara In Sabina;487
Farnese;65
Ferentino;667
Fiamignano;48
Fiano Romano;469
Filacciano;17
Filettino;21
Fiuggi;381
Fiumicino;2439
Fondi;1294
Fontana Liri;108
Fonte Nuova;991
Fontechiari;49
Forano;115
Formello;455
Formia;1315
Frascati;810
Frasso Sabino;39
Frosinone;1718
Fumone;78
Gaeta;735
Gallese;96
Gallicano Nel Lazio;223
Gallinaro;55
Gavignano;68
Genazzano;194
Genzano Di Roma;926
Gerano;47
Giuliano Di Roma;84
Gorga;24
Gradoli;36
Graffignano;84
Greccio;63
Grottaferrata;782
Grotte Di Castro;79
Guarcino;61
Guidonia Montecelio;2780
Ischia Di Castro;99
Isola Del Liri;395
Itri;387
Jenne;19
Labico;199
Labro;12
Ladispoli;1392
Lanuvio;512
Lariano;426
Latera;38
Latina;4296
Lenola;146
Leonessa;83
Licenza;44
Longone Sabino;20
Lubriano;39
Maenza;112
Magliano Romano;54
Magliano Sabina;139
Mandela;44
Manziana;284
Marano Equo;30
Marcellina;228
Marcetelli;2
Marino;1482
Marta;123
Mazzano Romano;109
Mentana;758
Micigliano;3
Minturno;743
Mompeo;20
Montalto Di Castro;282
Montasola;10
Monte Porzio Catone;346
Monte Romano;72
Monte San Biagio;213
Monte San Giovanni Campano;449
Monte San Giovanni In Sabina;27
Montebuono;25
Montecompatri;402
Montefiascone;536
Monteflavio;48
Montelanico;68
Monteleone Sabino;46
Montelibretti;200
Montenero Sabino;8
Monterosi;151
Monterotondo;1356
Montopoli Di Sabina;148
Montorio Romano;86
Moricone;99
Morlupo;311
Morolo;111
Morro Reatino;11
Nazzano;51
Nemi;74
Nepi;364
Nerola;70
Nespolo;8
Nettuno;1711
Norma;135
Olevano Romano;235
Onano;51
Oriolo Romano;158
Orte;283
Orvinio;11
Paganico;6
Palestrina;787
Paliano;298
Palombara Sabina;452
Pastena;61
Patrica;112
Percile;3
Pescorocchiano;83
Pescosolido;47
Petrella Salto;44
Piansano;92
Picinisco;46
Pico;90
Piedimonte San Germano;168
Piglio;188
Pignataro Interamna;99
Pisoniano;35
Pofi;159
Poggio Bustone;71
Poggio Catino;44
Poggio Mirteto;247
Poggio Moiano;100
Poggio Nativo;90
Poggio San Lorenzo;21
Poli;74
Pomezia;2070
Pontecorvo;491
Pontinia;447
Ponza;125
Ponzano Romano;34
Posta;24
Posta Fibreno;39
Pozzaglia Sabino;14
Priverno;508
Proceno;23
Prossedi;51
Riano;295
Rieti;1744
Rignano Flaminio;373
Riofreddo;24
Ripi;170
Rivodutri;27
Rocca Canterano;9
Rocca D'Arce;43
Rocca Di Cave;14
Rocca Di Papa;614
Rocca Massima;32
Rocca Priora;423
Rocca Santo Stefano;43
Rocca Sinibalda;22
Roccagiovine;20
Roccagorga;143
Roccantica;21
Roccasecca;280
Roccasecca Dei Volsci;32
Roiate;39
Roma;100419
Ronciglione;324
Roviano;63
Sabaudia;616
Sacrofano;259
Salisano;19
Sambuci;40
San Biagio Saracinisco;9
San Cesareo;465
San Donato Val Di Comino;82
San Felice Circeo;370
San Giorgio A Liri;95
San Giovanni Incarico;132
San Gregorio Da Sassola;56
San Lorenzo Nuovo;75
San Polo Dei Cavalieri;121
San Vito Romano;121
San Vittore Del Lazio;94
Sant'Ambrogio Sul Garigliano;37
Sant'Andrea Del Garigliano;46
Sant'Angelo Romano;157
Sant'Apollinare;77
Sant'Elia Fiumerapido;214
Sant'Oreste;128
Santa Marinella;685
Santi Cosma E Damiano;250
Santopadre;52
Saracinesco;10
Scandriglia;94
Segni;323
Selci;41
Sermoneta;276
Serrone;116
Settefrati;33
Sezze;809
Sgurgola;85
Sonnino;284
Sora;953
Soriano Nel Cimino;316
Sperlonga;122
Spigno Saturnia;90
Stimigliano;81
Strangolagalli;94
Subiaco;342
Supino;169
Sutri;249
Tarano;56
Tarquinia;615
Terelle;12
Terracina;1608
Tessennano;12
Tivoli;1965
Toffia;36
Tolfa;177
Torre Cajetani;65
Torri In Sabina;43
Torrice;149
Torricella In Sabina;60
Torrita Tiberina;33
Trevi Nel Lazio;76
Trevignano Romano;240
Trivigliano;51
Turania;10
Tuscania;329
Vacone;5
Valentano;117
Vallecorsa;101
Vallemaio;44
Vallepietra;8
Vallerano;96
Vallerotonda;48
Vallinfreda;7
Valmontone;487
Varco Sabino;4
Vasanello;161
Vejano;79
Velletri;1906
Ventotene;31
Veroli;732
Vetralla;490
Vicalvi;28
Vico Nel Lazio;86
Vicovaro;141
Vignanello;141
Villa Latina;40
Villa San Giovanni In Tuscia;46
Villa Santa Lucia;98
Villa Santo Stefano;57
Viterbo;2252
Viticuso;14
Vitorchiano;151
Vivaro Romano;12
Zagarolo;590

Fonte www.opensalutelazio.it
