Argomento: Popolazione
Classi età: ≥85
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;23
Acquafondata;15
Acquapendente;221
Acuto;61
Affile;37
Agosta;50
Alatri;534
Albano Laziale;915
Allumiere;90
Alvito;68
Amaseno;81
Amatrice;83
Anagni;452
Anguillara Sabazia;311
Anticoli Corrado;19
Antrodoco;72
Anzio;979
Aprilia;1148
Aquino;101
Arce;140
Arcinazzo Romano;43
Ardea;555
Ariccia;374
Arlena Di Castro;31
Arnara;61
Arpino;233
Arsoli;44
Artena;234
Ascrea;10
Atina;116
Ausonia;63
Bagnoregio;130
Barbarano Romano;33
Bassano In Teverina;31
Bassano Romano;110
Bassiano;45
Bellegra;62
Belmonte Castello;16
Belmonte In Sabina;11
Blera;67
Bolsena;137
Bomarzo;45
Borbona;28
Borgo Velino;33
Borgorose;106
Boville Ernica;186
Bracciano;429
Broccostella;51
Calcata;22
Camerata Nuova;11
Campagnano Di Roma;209
Campodimele;26
Campoli Appennino;43
Canale Monterano;92
Canepina;73
Canino;141
Cantalice;72
Cantalupo In Sabina;40
Canterano;9
Capena;136
Capodimonte;65
Capranica;135
Capranica Prenestina;12
Caprarola;136
Carbognano;44
Carpineto Romano;132
Casalattico;24
Casalvieri;86
Casape;23
Casaprota;30
Casperia;30
Cassino;737
Castel Di Tora;7
Castel Gandolfo;196
Castel Madama;149
Castel San Pietro Romano;24
Castel Sant'Angelo;46
Castel Sant'Elia;49
Castelforte;149
Castelliri;76
Castelnuovo Di Farfa;31
Castelnuovo Di Porto;148
Castelnuovo Parano;19
Castiglione In Teverina;66
Castro Dei Volsci;145
Castrocielo;86
Cave;190
Ceccano;511
Celleno;46
Cellere;43
Ceprano;221
Cerreto Laziale;23
Cervara Di Roma;13
Cervaro;168
Cerveteri;601
Ciampino;790
Ciciliano;40
Cineto Romano;25
Cisterna Di Latina;604
Cittaducale;153
Cittareale;30
Civita Castellana;401
Civitavecchia;1229
Civitella D'Agliano;59
Civitella San Paolo;32
Colfelice;67
Collalto Sabino;19
Colle Di Tora;13
Colle San Magno;22
Colleferro;502
Collegiove;5
Collepardo;19
Collevecchio;51
Colli Sul Velino;14
Colonna;81
Concerviano;11
Configni;19
Contigliano;117
Corchiano;68
Coreno Ausonio;59
Cori;264
Cottanello;21
Esperia;113
Fabrica Di Roma;143
Faleria;55
Falvaterra;20
Fara In Sabina;241
Farnese;66
Ferentino;392
Fiamignano;62
Fiano Romano;225
Filacciano;18
Filettino;14
Fiuggi;227
Fiumicino;1129
Fondi;660
Fontana Liri;82
Fonte Nuova;495
Fontechiari;29
Forano;69
Formello;193
Formia;877
Frascati;535
Frasso Sabino;19
Frosinone;1113
Fumone;52
Gaeta;569
Gallese;66
Gallicano Nel Lazio;74
Gallinaro;28
Gavignano;38
Genazzano;105
Genzano Di Roma;478
Gerano;46
Giuliano Di Roma;60
Gorga;19
Gradoli;42
Graffignano;52
Greccio;66
Grottaferrata;502
Grotte Di Castro;90
Guarcino;41
Guidonia Montecelio;1315
Ischia Di Castro;59
Isola Del Liri;330
Itri;240
Jenne;21
Labico;70
Labro;11
Ladispoli;728
Lanuvio;217
Lariano;199
Latera;30
Latina;2387
Lenola;120
Leonessa;74
Licenza;32
Longone Sabino;17
Lubriano;24
Maenza;66
Magliano Romano;29
Magliano Sabina;106
Mandela;18
Manziana;186
Marano Equo;31
Marcellina;121
Marcetelli;12
Marino;795
Marta;92
Mazzano Romano;55
Mentana;347
Micigliano;10
Minturno;437
Mompeo;25
Montalto Di Castro;175
Montasola;6
Monte Porzio Catone;191
Monte Romano;46
Monte San Biagio;156
Monte San Giovanni Campano;253
Monte San Giovanni In Sabina;27
Montebuono;34
Montecompatri;201
Montefiascone;365
Monteflavio;32
Montelanico;46
Monteleone Sabino;37
Montelibretti;116
Montenero Sabino;11
Monterosi;73
Monterotondo;717
Montopoli Di Sabina;98
Montorio Romano;39
Moricone;58
Morlupo;166
Morolo;74
Morro Reatino;9
Nazzano;50
Nemi;40
Nepi;150
Nerola;41
Nespolo;10
Nettuno;987
Norma;107
Olevano Romano;149
Onano;50
Oriolo Romano;76
Orte;206
Orvinio;16
Paganico;12
Palestrina;400
Paliano;153
Palombara Sabina;213
Pastena;51
Patrica;63
Percile;5
Pescorocchiano;89
Pescosolido;32
Petrella Salto;37
Piansano;57
Picinisco;34
Pico;92
Piedimonte San Germano;107
Piglio;107
Pignataro Interamna;65
Pisoniano;20
Pofi;115
Poggio Bustone;64
Poggio Catino;27
Poggio Mirteto;133
Poggio Moiano;71
Poggio Nativo;45
Poggio San Lorenzo;16
Poli;49
Pomezia;892
Pontecorvo;275
Pontinia;249
Ponza;75
Ponzano Romano;31
Posta;31
Posta Fibreno;38
Pozzaglia Sabino;20
Priverno;302
Proceno;20
Prossedi;47
Riano;157
Rieti;1216
Rignano Flaminio;138
Riofreddo;17
Ripi;146
Rivodutri;35
Rocca Canterano;8
Rocca D'Arce;40
Rocca Di Cave;9
Rocca Di Papa;219
Rocca Massima;37
Rocca Priora;184
Rocca Santo Stefano;21
Rocca Sinibalda;35
Roccagiovine;13
Roccagorga;89
Roccantica;17
Roccasecca;161
Roccasecca Dei Volsci;20
Roiate;23
Roma;72242
Ronciglione;192
Roviano;54
Sabaudia;314
Sacrofano;109
Salisano;11
Sambuci;27
San Biagio Saracinisco;15
San Cesareo;196
San Donato Val Di Comino;69
San Felice Circeo;205
San Giorgio A Liri;83
San Giovanni Incarico;127
San Gregorio Da Sassola;51
San Lorenzo Nuovo;61
San Polo Dei Cavalieri;44
San Vito Romano;83
San Vittore Del Lazio;60
