Argomento: Popolazione
Classi età: 5-9
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;9
Acquafondata;2
Acquapendente;83
Acuto;45
Affile;31
Agosta;24
Alatri;628
Albano Laziale;928
Allumiere;89
Alvito;38
Amaseno;84
Amatrice;34
Anagni;474
Anguillara Sabazia;457
Anticoli Corrado;18
Antrodoco;35
Anzio;1452
Aprilia;1807
Aquino;102
Arce;112
Arcinazzo Romano;10
Ardea;1154
Ariccia;373
Arlena Di Castro;20
Arnara;38
Arpino;115
Arsoli;28
Artena;342
Ascrea;4
Atina;82
Ausonia;56
Bagnoregio;59
Barbarano Romano;12
Bassano In Teverina;20
Bassano Romano;88
Bassiano;32
Bellegra;45
Belmonte Castello;7
Belmonte In Sabina;14
Blera;57
Bolsena;38
Bomarzo;43
Borbona;11
Borgo Velino;12
Borgorose;88
Boville Ernica;185
Bracciano;409
Broccostella;44
Calcata;26
Camerata Nuova;6
Campagnano Di Roma;307
Campodimele;6
Campoli Appennino;27
Canale Monterano;89
Canepina;51
Canino;109
Cantalice;58
Cantalupo In Sabina;18
Canterano;1
Capena;326
Capodimonte;33
Capranica;138
Capranica Prenestina;3
Caprarola;107
Carbognano;33
Carpineto Romano;85
Casalattico;3
Casalvieri;38
Casape;9
Casaprota;7
Casperia;23
Cassino;770
Castel Di Tora;3
Castel Gandolfo;189
Castel Madama;185
Castel San Pietro Romano;11
Castel Sant'Angelo;22
Castel Sant'Elia;54
Castelforte;83
Castelliri;82
Castelnuovo Di Farfa;18
Castelnuovo Di Porto;189
Castelnuovo Parano;22
Castiglione In Teverina;42
Castro Dei Volsci;86
Castrocielo;80
Cave;281
Ceccano;541
Celleno;29
Cellere;17
Ceprano;167
Cerreto Laziale;19
Cervara Di Roma;7
Cervaro;164
Cerveteri;848
Ciampino;890
Ciciliano;26
Cineto Romano;5
Cisterna Di Latina;934
Cittaducale;126
Cittareale;8
Civita Castellana;309
Civitavecchia;1150
Civitella D'Agliano;34
Civitella San Paolo;38
Colfelice;30
Collalto Sabino;2
Colle Di Tora;8
Colle San Magno;14
Colleferro;450
Collegiove;1
Collepardo;26
Collevecchio;24
Colli Sul Velino;6
Colonna;102
Concerviano;7
Configni;19
Contigliano;76
Corchiano;75
Coreno Ausonio;27
Cori;209
Cottanello;12
Esperia;74
Fabrica Di Roma;179
Faleria;38
Falvaterra;15
Fara In Sabina;328
Farnese;20
Ferentino;441
Fiamignano;14
Fiano Romano;515
Filacciano;6
Filettino;6
Fiuggi;181
Fiumicino;2161
Fondi;1011
Fontana Liri;60
Fonte Nuova;905
Fontechiari;22
Forano;52
Formello;357
Formia;762
Frascati;561
Frasso Sabino;16
Frosinone;902
Fumone;35
Gaeta;336
Gallese;45
Gallicano Nel Lazio;193
Gallinaro;20
Gavignano;39
Genazzano;119
Genzano Di Roma;513
Gerano;23
Giuliano Di Roma;54
Gorga;14
Gradoli;13
Graffignano;47
Greccio;40
Grottaferrata;452
Grotte Di Castro;26
Guarcino;37
Guidonia Montecelio;2349
Ischia Di Castro;37
Isola Del Liri;207
Itri;236
Jenne;1
Labico;174
Labro;4
Ladispoli;922
Lanuvio;325
Lariano;314
Latera;4
Latina;3025
Lenola;74
Leonessa;29
Licenza;20
Longone Sabino;5
Lubriano;23
Maenza;66
Magliano Romano;27
Magliano Sabina;78
Mandela;17
Manziana;185
Marano Equo;16
Marcellina;186
Marcetelli;1
Marino;1250
Marta;56
Mazzano Romano;77
Mentana;603
Micigliano;1
Minturno;462
Mompeo;7
Montalto Di Castro;184
Montasola;7
Monte Porzio Catone;193
Monte Romano;48
Monte San Biagio;148
Monte San Giovanni Campano;271
Monte San Giovanni In Sabina;13
Montebuono;11
Montecompatri;280
Montefiascone;244
Monteflavio;16
Montelanico;47
Monteleone Sabino;23
Montelibretti;125
Montenero Sabino;1
Monterosi;116
Monterotondo;1089
Montopoli Di Sabina;82
Montorio Romano;40
Moricone;59
Morlupo;193
Morolo;75
Morro Reatino;4
Nazzano;34
Nemi;41
Nepi;203
Nerola;37
Nespolo;2
Nettuno;1036
Norma;65
Olevano Romano;109
Onano;17
Oriolo Romano;87
Orte;227
Orvinio;3
Paganico;0
Palestrina;561
Paliano;177
Palombara Sabina;319
Pastena;22
Patrica;67
Percile;1
Pescorocchiano;31
Pescosolido;29
Petrella Salto;17
Piansano;31
Picinisco;18
Pico;53
Piedimonte San Germano;187
Piglio;80
Pignataro Interamna;47
Pisoniano;14
Pofi;80
Poggio Bustone;43
Poggio Catino;19
Poggio Mirteto;141
Poggio Moiano;59
Poggio Nativo;50
Poggio San Lorenzo;12
Poli;59
Pomezia;1680
Pontecorvo;283
Pontinia;403
Ponza;55
Ponzano Romano;22
Posta;3
Posta Fibreno;16
Pozzaglia Sabino;3
Priverno;315
Proceno;4
Prossedi;33
Riano;279
Rieti;828
Rignano Flaminio;236
Riofreddo;15
Ripi;116
Rivodutri;18
Rocca Canterano;0
Rocca D'Arce;17
Rocca Di Cave;5
Rocca Di Papa;417
Rocca Massima;24
Rocca Priora;276
Rocca Santo Stefano;16
Rocca Sinibalda;9
Roccagiovine;5
Roccagorga;81
Roccantica;10
Roccasecca;148
Roccasecca Dei Volsci;17
Roiate;9
Roma;61443
Ronciglione;163
Roviano;22
Sabaudia;453
Sacrofano;137
Salisano;12
Sambuci;15
San Biagio Saracinisco;5
San Cesareo;437
San Donato Val Di Comino;24
San Felice Circeo;216
San Giorgio A Liri;71
San Giovanni Incarico;65
San Gregorio Da Sassola;29
San Lorenzo Nuovo;30
San Polo Dei Cavalieri;73
San Vito Romano;65
San Vittore Del Lazio;45
Sant'Ambrogio Sul Garigliano;15
Sant'Andrea Del Garigliano;30
Sant'Angelo Romano;132
Sant'Apollinare;44
Sant'Elia Fiumerapido;130
Sant'Oreste;78
Santa Marinella;373
Santi Cosma E Damiano;143
Santopadre;24
Saracinesco;3
Scandriglia;72
Segni;191
Selci;20
Sermoneta;306
Serrone;58
Settefrati;7
Sezze;534
Sgurgola;34
Sonnino;181
Sora;554
Soriano Nel Cimino;136
Sperlonga;56
Spigno Saturnia;63
Stimigliano;52
Strangolagalli;47
Subiaco;162
Supino;101
Sutri;124
Tarano;21
Tarquinia;346
Terelle;3
Terracina;981
Tessennano;2
Tivoli;1291
Toffia;23
Tolfa;86
Torre Cajetani;29
Torri In Sabina;25
Torrice;122
Torricella In Sabina;23
Torrita Tiberina;18
Trevi Nel Lazio;16
Trevignano Romano;125
Trivigliano;39
Turania;5
Tuscania;161
Vacone;0
Valentano;58
Vallecorsa;41
Vallemaio;12
Vallepietra;0
Vallerano;38
Vallerotonda;21
Vallinfreda;2
Valmontone;412
Varco Sabino;2
Vasanello;75
Vejano;38
Velletri;1187
Ventotene;16
Veroli;437
Vetralla;303
Vicalvi;12
Vico Nel Lazio;49
Vicovaro;96
Vignanello;77
Villa Latina;24
Villa San Giovanni In Tuscia;21
Villa Santa Lucia;61
Villa Santo Stefano;26
Viterbo;1391
Viticuso;5
Vitorchiano;137
Vivaro Romano;1
Zagarolo;460

Fonte www.opensalutelazio.it
