ASL;gender;age;hpt;hf;value;
FROSINONE;male;;;;243308;3073047
FROSINONE;female;;;;250758;3259977
FROSINONE;;30;;;134924;1745215
FROSINONE;;3060;;;207877;2832088
FROSINONE;;60100;;;151265;1755721
FROSINONE;;;yes;;116071;1193445
FROSINONE;;;no;;187900;5139579
FROSINONE;;;;yes;7927;93926
FROSINONE;;;;no;239295;6239098
FROSINONE;;30;yes;;299;3547
FROSINONE;;3060;yes;;25566;252543
FROSINONE;;60100;yes;;90206;937355
FROSINONE;;30;no;;70207;1741668
FROSINONE;;3060;no;;89325;2579545
FROSINONE;;60100;no;;28368;818366
FROSINONE;;30;;yes;32;424
FROSINONE;;3060;;yes;648;8459
FROSINONE;;60100;;yes;7247;85043
FROSINONE;;30;;no;70367;1744791
FROSINONE;;3060;;no;103045;2823629
FROSINONE;;60100;;no;65883;1670678
LATINA;male;;;;309924;
LATINA;female;;;;310233;
LATINA;;30;;;179444;
LATINA;;3060;;;274221;
LATINA;;60100;;;166492;
LATINA;;;yes;;121945;
LATINA;;;no;;251013;
LATINA;;;;yes;9701;
LATINA;;;;no;304977;
LATINA;;30;yes;;399;
LATINA;;3060;yes;;27038;
LATINA;;60100;yes;;94508;
LATINA;;30;no;;93667;
LATINA;;3060;no;;124488;
LATINA;;60100;no;;32858;
LATINA;;30;;yes;44;
LATINA;;3060;;yes;995;
LATINA;;60100;;yes;8662;
LATINA;;30;;no;93885;
LATINA;;3060;;no;139154;
LATINA;;60100;;no;71938;
RIETI;male;;;;82150;
RIETI;female;;;;82212;
RIETI;;30;;;42396;
RIETI;;3060;;;69485;
RIETI;;60100;;;52481;
RIETI;;;yes;;37389;
RIETI;;;no;;63707;
RIETI;;;;yes;3290;
RIETI;;;;no;80446;
RIETI;;30;yes;;76;
RIETI;;3060;yes;;7879;
RIETI;;60100;yes;;29434;
RIETI;;30;no;;22707;
RIETI;;3060;no;;30598;
RIETI;;60100;no;;10402;
RIETI;;30;;yes;0;
RIETI;;3060;;yes;254;
RIETI;;60100;;yes;3036;
RIETI;;30;;no;22768;
RIETI;;3060;;no;34972;
RIETI;;60100;;no;22706;
ROMA 1;male;;;;524383;
ROMA 1;female;;;;599352;
ROMA 1;;30;;;292185;
ROMA 1;;3060;;;504440;
ROMA 1;;60100;;;327110;
ROMA 1;;;yes;;190739;
ROMA 1;;;no;;435254;
ROMA 1;;;;yes;15951;
ROMA 1;;;;no;516311;
ROMA 1;;30;yes;;541;
ROMA 1;;3060;yes;;35475;
ROMA 1;;60100;yes;;154723;
ROMA 1;;30;no;;150564;
ROMA 1;;3060;no;;217110;
ROMA 1;;60100;no;;67580;
ROMA 1;;30;;yes;79;
ROMA 1;;3060;;yes;1308;
ROMA 1;;60100;;yes;14564;
ROMA 1;;30;;no;150882;
ROMA 1;;3060;;no;236844;
ROMA 1;;60100;;no;128585;
ROMA 2;male;;;;673619;
ROMA 2;female;;;;721182;
ROMA 2;;30;;;384377;
ROMA 2;;3060;;;630097;
ROMA 2;;60100;;;380327;
ROMA 2;;;yes;;260122;
ROMA 2;;;no;;549986;
ROMA 2;;;;yes;20488;
ROMA 2;;;;no;663397;
ROMA 2;;30;yes;;802;
ROMA 2;;3060;yes;;53516;
ROMA 2;;60100;yes;;205804;
ROMA 2;;30;no;;199350;
ROMA 2;;3060;no;;279451;
ROMA 2;;60100;no;;71185;
ROMA 2;;30;;yes;117;
ROMA 2;;3060;;yes;1789;
ROMA 2;;60100;;yes;18582;
ROMA 2;;30;;no;199798;
ROMA 2;;3060;;no;309723;
ROMA 2;;60100;;no;153876;
