Gruppo patologie: Dati di prevalenza Broncopneumopatia Cronica Ostruttiva
Genere: Femmine
Classi età: 55-59
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;4432
ROMA;2126
ASL Roma 1;755
ASL Roma 2;949
ASL Roma 3;489
ASL Roma 4;234
ASL Roma 5;418
ASL Roma 6;536
ASL Frosinone;317
ASL Latina;420
ASL Rieti;91
ASL Viterbo;223

DISTRETTO;2022

ASL Roma 1, Distretto 01;120
ASL Roma 1, Distretto 02;110
ASL Roma 1, Distretto 03;173
ASL Roma 1, Distretto 13;97
ASL Roma 1, Distretto 14;146
ASL Roma 1, Distretto 15;109
ASL Roma 2, Distretto 04;135
ASL Roma 2, Distretto 05;183
ASL Roma 2, Distretto 06;217
ASL Roma 2, Distretto 07;186
ASL Roma 2, Distretto 08;103
ASL Roma 2, Distretto 09;125
ASL Roma 3, Municipio X;206
ASL Roma 3, Municipio XI;121
ASL Roma 3, Municipio XII;95
ASL Roma 3, Fiumicino;67
ASL Roma 4, Distretto F1;64
ASL Roma 4, Distretto F2;55
ASL Roma 4, Distretto F3;37
ASL Roma 4, Distretto F4;78
ASL Roma 5, Distretto G1-Mentana-Monterotondo;65
ASL Roma 5, Distretto G2-Guidonia;126
ASL Roma 5, Distretto G3-Tivoli;73
ASL Roma 5, Distretto G4-Subiaco;23
ASL Roma 5, Distretto G5-Palestrina;60
ASL Roma 5, Distretto G6-Colleferro;71
ASL Roma 6, Distretto H1;90
ASL Roma 6, Distretto H2;99
ASL Roma 6, Distretto H3;72
ASL Roma 6, Distretto H4;91
ASL Roma 6, Distretto H5;78
ASL Roma 6, Distretto H6;106
ASL Viterbo, Distretto A;67
ASL Viterbo, Distretto B;60
ASL Viterbo, Distretto C;96
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;47
ASL Rieti, Distretto 2 - Salario-Mirtense;44
ASL Latina, Distretto 1 - Aprilia-Cisterna;91
ASL Latina, Distretto 2 - Latina;135
ASL Latina, Distretto 3 - Monti Lepini;32
ASL Latina, Distretto 4 - Fondi-Terracina;74
ASL Latina, Distretto 5 - Formia-Gaeta;88
ASL Frosinone, Distretto A - Alatri-Anagni;61
ASL Frosinone, Distretto B - Frosinone;124
ASL Frosinone, Distretto C - Sora;52
ASL Frosinone, Distretto D - Cassino - Pontecorvo;80

COMUNE;2022
Accumoli;(*)
Acquafondata;0
Acquapendente;5
Acuto;(*)
Affile;(*)
Agosta;(*)
Alatri;18
Albano Laziale;40
Allumiere;7
Alvito;0
Amaseno;5
Amatrice;(*)
Anagni;11
Anguillara Sabazia;22
Anticoli Corrado;(*)
Antrodoco;0
Anzio;63
Aprilia;54
Aquino;(*)
Arce;(*)
Arcinazzo Romano;(*)
Ardea;45
Ariccia;19
Arlena Di Castro;(*)
Arnara;(*)
Arpino;4
Arsoli;(*)
Artena;17
Ascrea;0
Atina;(*)
Ausonia;(*)
Bagnoregio;4
Barbarano Romano;0
Bassano In Teverina;0
Bassano Romano;(*)
Bassiano;0
Bellegra;(*)
Belmonte Castello;0
Belmonte In Sabina;(*)
Blera;(*)
Bolsena;(*)
Bomarzo;0
Borbona;(*)
Borgo Velino;0
Borgorose;(*)
Boville Ernica;6
Bracciano;6
Broccostella;0
Calcata;(*)
Camerata Nuova;(*)
Campagnano Di Roma;5
Campodimele;0
Campoli Appennino;(*)
Canale Monterano;(*)
Canepina;(*)
Canino;(*)
Cantalice;0
Cantalupo In Sabina;0
Canterano;(*)
Capena;8
Capodimonte;(*)
Capranica;7
Capranica Prenestina;0
Caprarola;(*)
Carbognano;0
Carpineto Romano;(*)
Casalattico;0
Casalvieri;0
Casape;0
Casaprota;(*)
Casperia;0
Cassino;32
Castel Di Tora;0
Castel Gandolfo;(*)
Castel Madama;(*)
Castel San Pietro Romano;(*)
Castel Sant'Angelo;(*)
Castel Sant'Elia;(*)
Castelforte;8
Castelliri;4
Castelnuovo Di Farfa;(*)
Castelnuovo Di Porto;5
Castelnuovo Parano;0
Castiglione In Teverina;(*)
Castro Dei Volsci;4
Castrocielo;(*)
Cave;12
Ceccano;21
Celleno;0
Cellere;(*)
Ceprano;6
Cerreto Laziale;(*)
