Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Femmine
Classi età: 20-24
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;524
ROMA;243
ASL Roma 1;83
ASL Roma 2;121
ASL Roma 3;44
ASL Roma 4;48
ASL Roma 5;55
ASL Roma 6;39
ASL Frosinone;43
ASL Latina;53
ASL Rieti;9
ASL Viterbo;29

DISTRETTO;2022

ASL Roma 1, Distretto 01;18
ASL Roma 1, Distretto 02;6
ASL Roma 1, Distretto 03;15
ASL Roma 1, Distretto 13;16
ASL Roma 1, Distretto 14;16
ASL Roma 1, Distretto 15;12
ASL Roma 2, Distretto 04;20
ASL Roma 2, Distretto 05;30
ASL Roma 2, Distretto 06;27
ASL Roma 2, Distretto 07;17
ASL Roma 2, Distretto 08;9
ASL Roma 2, Distretto 09;18
ASL Roma 3, Municipio X;20
ASL Roma 3, Municipio XI;10
ASL Roma 3, Municipio XII;9
ASL Roma 3, Fiumicino;5
ASL Roma 4, Distretto F1;11
ASL Roma 4, Distretto F2;12
ASL Roma 4, Distretto F3;9
ASL Roma 4, Distretto F4;16
ASL Roma 5, Distretto G1-Mentana-Monterotondo;9
ASL Roma 5, Distretto G2-Guidonia;11
ASL Roma 5, Distretto G3-Tivoli;10
ASL Roma 5, Distretto G4-Subiaco;4
ASL Roma 5, Distretto G5-Palestrina;11
ASL Roma 5, Distretto G6-Colleferro;10
ASL Roma 6, Distretto H1;8
ASL Roma 6, Distretto H2;7
ASL Roma 6, Distretto H3;6
ASL Roma 6, Distretto H4;4
ASL Roma 6, Distretto H5;8
ASL Roma 6, Distretto H6;6
ASL Viterbo, Distretto A;11
ASL Viterbo, Distretto B;6
ASL Viterbo, Distretto C;12
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;5
ASL Rieti, Distretto 2 - Salario-Mirtense;4
ASL Latina, Distretto 1 - Aprilia-Cisterna;14
ASL Latina, Distretto 2 - Latina;13
ASL Latina, Distretto 3 - Monti Lepini;6
ASL Latina, Distretto 4 - Fondi-Terracina;11
ASL Latina, Distretto 5 - Formia-Gaeta;9
ASL Frosinone, Distretto A - Alatri-Anagni;10
ASL Frosinone, Distretto B - Frosinone;15
ASL Frosinone, Distretto C - Sora;8
ASL Frosinone, Distretto D - Cassino - Pontecorvo;10

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;0
Acuto;0
Affile;0
Agosta;(*)
Alatri;(*)
Albano Laziale;(*)
Allumiere;0
Alvito;0
Amaseno;0
Amatrice;0
