Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Femmine
Classi età: 70-74
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;22262
ROMA;9422
ASL Roma 1;3041
ASL Roma 2;4617
ASL Roma 3;2015
ASL Roma 4;1259
ASL Roma 5;2152
ASL Roma 6;2221
ASL Frosinone;2304
ASL Latina;2587
ASL Rieti;740
ASL Viterbo;1326

DISTRETTO;2022

ASL Roma 1, Distretto 01;402
ASL Roma 1, Distretto 02;396
ASL Roma 1, Distretto 03;692
ASL Roma 1, Distretto 13;427
ASL Roma 1, Distretto 14;667
ASL Roma 1, Distretto 15;457
ASL Roma 2, Distretto 04;694
ASL Roma 2, Distretto 05;896
ASL Roma 2, Distretto 06;1046
ASL Roma 2, Distretto 07;978
ASL Roma 2, Distretto 08;451
ASL Roma 2, Distretto 09;552
ASL Roma 3, Municipio X;833
ASL Roma 3, Municipio XI;543
ASL Roma 3, Municipio XII;388
ASL Roma 3, Fiumicino;251
ASL Roma 4, Distretto F1;354
ASL Roma 4, Distretto F2;301
ASL Roma 4, Distretto F3;217
ASL Roma 4, Distretto F4;387
ASL Roma 5, Distretto G1-Mentana-Monterotondo;372
ASL Roma 5, Distretto G2-Guidonia;545
ASL Roma 5, Distretto G3-Tivoli;358
ASL Roma 5, Distretto G4-Subiaco;156
ASL Roma 5, Distretto G5-Palestrina;382
ASL Roma 5, Distretto G6-Colleferro;339
ASL Roma 6, Distretto H1;339
ASL Roma 6, Distretto H2;421
ASL Roma 6, Distretto H3;306
ASL Roma 6, Distretto H4;405
ASL Roma 6, Distretto H5;294
ASL Roma 6, Distretto H6;456
ASL Viterbo, Distretto A;424
ASL Viterbo, Distretto B;378
ASL Viterbo, Distretto C;524
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;454
ASL Rieti, Distretto 2 - Salario-Mirtense;286
ASL Latina, Distretto 1 - Aprilia-Cisterna;515
ASL Latina, Distretto 2 - Latina;740
ASL Latina, Distretto 3 - Monti Lepini;255
ASL Latina, Distretto 4 - Fondi-Terracina;535
ASL Latina, Distretto 5 - Formia-Gaeta;542
ASL Frosinone, Distretto A - Alatri-Anagni;418
ASL Frosinone, Distretto B - Frosinone;779
ASL Frosinone, Distretto C - Sora;439
ASL Frosinone, Distretto D - Cassino - Pontecorvo;668

COMUNE;2022
Accumoli;(*)
Acquafondata;0
Acquapendente;15
Acuto;8
Affile;6
Agosta;11
Alatri;123
Albano Laziale;180
Allumiere;28
Alvito;20
Amaseno;19
