Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Maschi
Classi età: 50-54
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;8999
ROMA;3849
ASL Roma 1;1226
ASL Roma 2;1936
ASL Roma 3;834
ASL Roma 4;563
ASL Roma 5;881
ASL Roma 6;974
ASL Frosinone;862
ASL Latina;1032
ASL Rieti;243
ASL Viterbo;448

DISTRETTO;2022

ASL Roma 1, Distretto 01;218
ASL Roma 1, Distretto 02;157
ASL Roma 1, Distretto 03;212
ASL Roma 1, Distretto 13;171
ASL Roma 1, Distretto 14;252
ASL Roma 1, Distretto 15;216
ASL Roma 2, Distretto 04;251
ASL Roma 2, Distretto 05;436
ASL Roma 2, Distretto 06;506
ASL Roma 2, Distretto 07;350
ASL Roma 2, Distretto 08;199
ASL Roma 2, Distretto 09;194
ASL Roma 3, Municipio X;303
ASL Roma 3, Municipio XI;251
ASL Roma 3, Municipio XII;133
ASL Roma 3, Fiumicino;147
ASL Roma 4, Distretto F1;113
ASL Roma 4, Distretto F2;160
ASL Roma 4, Distretto F3;99
ASL Roma 4, Distretto F4;191
ASL Roma 5, Distretto G1-Mentana-Monterotondo;164
ASL Roma 5, Distretto G2-Guidonia;254
ASL Roma 5, Distretto G3-Tivoli;127
ASL Roma 5, Distretto G4-Subiaco;54
ASL Roma 5, Distretto G5-Palestrina;154
ASL Roma 5, Distretto G6-Colleferro;128
ASL Roma 6, Distretto H1;141
ASL Roma 6, Distretto H2;156
ASL Roma 6, Distretto H3;124
ASL Roma 6, Distretto H4;243
ASL Roma 6, Distretto H5;121
ASL Roma 6, Distretto H6;189
ASL Viterbo, Distretto A;138
ASL Viterbo, Distretto B;123
ASL Viterbo, Distretto C;187
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;141
ASL Rieti, Distretto 2 - Salario-Mirtense;102
ASL Latina, Distretto 1 - Aprilia-Cisterna;245
ASL Latina, Distretto 2 - Latina;276
ASL Latina, Distretto 3 - Monti Lepini;103
ASL Latina, Distretto 4 - Fondi-Terracina;229
ASL Latina, Distretto 5 - Formia-Gaeta;179
ASL Frosinone, Distretto A - Alatri-Anagni;175
ASL Frosinone, Distretto B - Frosinone;302
ASL Frosinone, Distretto C - Sora;138
ASL Frosinone, Distretto D - Cassino - Pontecorvo;247

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;8
Acuto;5
Affile;(*)
Agosta;4
Alatri;47
Albano Laziale;57
Allumiere;7
Alvito;(*)
Amaseno;4
Amatrice;6
Anagni;34
Anguillara Sabazia;37
Anticoli Corrado;(*)
Antrodoco;(*)
Anzio;103
Aprilia;159
Aquino;12
Arce;8
Arcinazzo Romano;(*)
Ardea;121
Ariccia;28
Arlena Di Castro;(*)
Arnara;9
Arpino;12
Arsoli;0
Artena;34
Ascrea;0
Atina;5
Ausonia;9
Bagnoregio;4
Barbarano Romano;(*)
Bassano In Teverina;(*)
Bassano Romano;10
Bassiano;0
Bellegra;(*)
Belmonte Castello;0
Belmonte In Sabina;4
Blera;(*)
Bolsena;4
Bomarzo;(*)
Borbona;0
Borgo Velino;(*)
Borgorose;5
Boville Ernica;15
Bracciano;36
Broccostella;(*)
Calcata;0
Camerata Nuova;(*)
Campagnano Di Roma;24
Campodimele;(*)
Campoli Appennino;(*)
Canale Monterano;5
Canepina;(*)
Canino;5
Cantalice;9
Cantalupo In Sabina;(*)
Canterano;(*)
Capena;22
Capodimonte;4
Capranica;11
Capranica Prenestina;0
Caprarola;7
Carbognano;5
Carpineto Romano;7
Casalattico;0
Casalvieri;(*)
Casape;(*)
Casaprota;(*)
Casperia;0
Cassino;55
Castel Di Tora;0
Castel Gandolfo;18
Castel Madama;11
Castel San Pietro Romano;0
Castel Sant'Angelo;4
Castel Sant'Elia;5
Castelforte;10
Castelliri;0
Castelnuovo Di Farfa;(*)
Castelnuovo Di Porto;17
Castelnuovo Parano;(*)
Castiglione In Teverina;8
Castro Dei Volsci;9
Castrocielo;10
Cave;12
Ceccano;44
Celleno;(*)
Cellere;(*)
Ceprano;9
Cerreto Laziale;(*)
Cervara Di Roma;(*)
Cervaro;16
Cerveteri;78
Ciampino;57
Ciciliano;4
Cineto Romano;(*)
Cisterna Di Latina;74
Cittaducale;7
Cittareale;0
Civita Castellana;23
Civitavecchia;69
Civitella D'Agliano;(*)
Civitella San Paolo;5
Colfelice;6
