Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Femmine;
Classi età: 70-74;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;fem
classi_eta;"""70-74"""
AREA;2022
LAZIO;93148
ROMA;41787
ASL Roma 1;14268
ASL Roma 2;19711
ASL Roma 3;8907
ASL Roma 4;4869
ASL Roma 5;8059
ASL Roma 6;9000
ASL Frosinone;9861
ASL Latina;10276
ASL Rieti;2915
ASL Viterbo;5282
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;2124
ASL Roma 1, Distretto 02;2132
ASL Roma 1, Distretto 03;3465
ASL Roma 1, Distretto 13;1908
ASL Roma 1, Distretto 14;2678
ASL Roma 1, Distretto 15;1961
ASL Roma 2, Distretto 04;3226
ASL Roma 2, Distretto 05;3610
ASL Roma 2, Distretto 06;3629
ASL Roma 2, Distretto 07;4651
ASL Roma 2, Distretto 08;2075
ASL Roma 2, Distretto 09;2520
ASL Roma 3, Municipio X;3485
ASL Roma 3, Municipio XI;2373
ASL Roma 3, Municipio XII;1950
ASL Roma 3, Fiumicino;1099
ASL Roma 4, Distretto F1;1348
ASL Roma 4, Distretto F2;1139
ASL Roma 4, Distretto F3;829
ASL Roma 4, Distretto F4;1553
ASL Roma 5, Distretto G1-Mentana-Monterotondo;1415
ASL Roma 5, Distretto G2-Guidonia;2046
ASL Roma 5, Distretto G3-Tivoli;1390
ASL Roma 5, Distretto G4-Subiaco;627
ASL Roma 5, Distretto G5-Palestrina;1210
ASL Roma 5, Distretto G6-Colleferro;1371
ASL Roma 6, Distretto H1;1428
ASL Roma 6, Distretto H2;1758
ASL Roma 6, Distretto H3;1307
ASL Roma 6, Distretto H4;1551
ASL Roma 6, Distretto H5;1163
ASL Roma 6, Distretto H6;1793
ASL Viterbo, Distretto A;1795
ASL Viterbo, Distretto B;1530
ASL Viterbo, Distretto C;1957
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;1847
ASL Rieti, Distretto 2 - Salario-Mirtense;1068
ASL Latina, Distretto 1 - Aprilia-Cisterna;2103
ASL Latina, Distretto 2 - Latina;3050
ASL Latina, Distretto 3 - Monti Lepini;1017
ASL Latina, Distretto 4 - Fondi-Terracina;1987
ASL Latina, Distretto 5 - Formia-Gaeta;2119
ASL Frosinone, Distretto A - Alatri-Anagni;1719
ASL Frosinone, Distretto B - Frosinone;3594
ASL Frosinone, Distretto C - Sora;2094
ASL Frosinone, Distretto D - Cassino - Pontecorvo;2454
;
COMUNE;2022
Accumoli;10
Acquafondata;4
Acquapendente;107
Acuto;34
Affile;29
Agosta;29
Alatri;512
Albano Laziale;684
Allumiere;74
Alvito;78
Amaseno;78
Amatrice;62
Anagni;426
Anguillara Sabazia;269
Anticoli Corrado;14
Antrodoco;62
Anzio;933
Aprilia;1235
Aquino;154
Arce;121
Arcinazzo Romano;21
Ardea;656
Ariccia;336
Arlena Di Castro;16
Arnara;51
Arpino;150
Arsoli;31
Artena;225
Ascrea;(*)
Atina;83
