Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Maschi;
Classi età: 25-29;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;man
classi_eta;"""25-29"""
AREA;2022
LAZIO;751
ROMA;347
ASL Roma 1;124
ASL Roma 2;159
ASL Roma 3;69
ASL Roma 4;42
ASL Roma 5;72
ASL Roma 6;81
ASL Frosinone;68
ASL Latina;80
ASL Rieti;28
ASL Viterbo;28
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;13
ASL Roma 1, Distretto 02;18
ASL Roma 1, Distretto 03;30
ASL Roma 1, Distretto 13;13
ASL Roma 1, Distretto 14;29
ASL Roma 1, Distretto 15;21
ASL Roma 2, Distretto 04;16
ASL Roma 2, Distretto 05;39
ASL Roma 2, Distretto 06;46
ASL Roma 2, Distretto 07;26
ASL Roma 2, Distretto 08;11
ASL Roma 2, Distretto 09;21
ASL Roma 3, Municipio X;29
ASL Roma 3, Municipio XI;23
ASL Roma 3, Municipio XII;12
ASL Roma 3, Fiumicino;5
ASL Roma 4, Distretto F1;10
ASL Roma 4, Distretto F2;12
ASL Roma 4, Distretto F3;9
ASL Roma 4, Distretto F4;11
ASL Roma 5, Distretto G1-Mentana-Monterotondo;12
ASL Roma 5, Distretto G2-Guidonia;19
ASL Roma 5, Distretto G3-Tivoli;15
ASL Roma 5, Distretto G4-Subiaco;(*)
ASL Roma 5, Distretto G5-Palestrina;14
ASL Roma 5, Distretto G6-Colleferro;10
ASL Roma 6, Distretto H1;12
ASL Roma 6, Distretto H2;18
ASL Roma 6, Distretto H3;12
ASL Roma 6, Distretto H4;9
ASL Roma 6, Distretto H5;15
ASL Roma 6, Distretto H6;15
ASL Viterbo, Distretto A;4
ASL Viterbo, Distretto B;5
ASL Viterbo, Distretto C;19
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;14
ASL Rieti, Distretto 2 - Salario-Mirtense;14
ASL Latina, Distretto 1 - Aprilia-Cisterna;17
ASL Latina, Distretto 2 - Latina;24
ASL Latina, Distretto 3 - Monti Lepini;6
ASL Latina, Distretto 4 - Fondi-Terracina;14
ASL Latina, Distretto 5 - Formia-Gaeta;19
ASL Frosinone, Distretto A - Alatri-Anagni;10
ASL Frosinone, Distretto B - Frosinone;21
ASL Frosinone, Distretto C - Sora;14
