Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMINAZI
"""00-04""";2147;2446;255;309;RIETI
"""05-09""";2662;2864;299;336;RIETI
"""10-14""";3045;3216;297;316;RIETI
"""15-19""";3051;3445;249;326;RIETI
"""20-24""";3326;3693;300;609;RIETI
"""25-29""";3583;4372;414;836;RIETI
"""30-34""";3757;4318;538;894;RIETI
"""35-39""";3975;4355;628;775;RIETI
"""40-44""";4753;4866;679;673;RIETI
"""45-49""";5672;5690;713;567;RIETI
"""50-54""";6128;5972;669;489;RIETI
"""55-59""";6328;6253;495;298;RIETI
"""60-64""";5598;5385;384;172;RIETI
"""65-69""";5064;4971;225;104;RIETI
"""70-74""";5006;4838;137;61;RIETI
"""75-79""";3789;3478;62;34;RIETI
"""80-84""";3705;2802;34;15;RIETI
"""85-100""";4225;2365;20;7;RIETI
