Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMINAZI
"""00-04""";22905;23817;4004;4187;ROMA 2
"""05-09""";27039;28319;4511;4609;ROMA 2
"""10-14""";28765;30808;3834;4081;ROMA 2
"""15-19""";27819;29530;2696;3049;ROMA 2
"""20-24""";26633;29717;2376;3864;ROMA 2
"""25-29""";29377;32012;4543;5882;ROMA 2
"""30-34""";34095;35239;6875;7792;ROMA 2
"""35-39""";38838;39348;7856;9812;ROMA 2
"""40-44""";43839;43939;8158;9901;ROMA 2
"""45-49""";52129;49501;7670;7742;ROMA 2
"""50-54""";53469;49678;7301;5824;ROMA 2
"""55-59""";53430;48542;5491;3628;ROMA 2
"""60-64""";44958;39113;4166;2220;ROMA 2
"""65-69""";38090;32433;2409;1217;ROMA 2
"""70-74""";35692;28876;1199;620;ROMA 2
"""75-79""";30114;22756;545;257;ROMA 2
"""80-84""";28626;19132;285;134;ROMA 2
"""85-100""";31243;15946;202;94;ROMA 2
