Argomento: Popolazione
Classi età: 25-29
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;9
Acquafondata;5
Acquapendente;121
Acuto;53
Affile;38
Agosta;46
Alatri;750
Albano Laziale;905
Allumiere;77
Alvito;62
Amaseno;112
Amatrice;48
Anagni;486
Anguillara Sabazia;457
Anticoli Corrado;20
Antrodoco;51
Anzio;1299
Aprilia;1883
Aquino;107
Arce;125
Arcinazzo Romano;27
Ardea;1045
Ariccia;441
Arlena Di Castro;17
Arnara;53
Arpino;173
Arsoli;26
Artena;342
Ascrea;8
Atina;103
Ausonia;59
Bagnoregio;115
Barbarano Romano;19
Bassano In Teverina;17
Bassano Romano;124
Bassiano;29
Bellegra;67
Belmonte Castello;19
Belmonte In Sabina;16
Blera;62
Bolsena;65
Bomarzo;37
Borbona;18
Borgo Velino;23
Borgorose;104
Boville Ernica;219
Bracciano;455
Broccostella;83
Calcata;16
Camerata Nuova;12
Campagnano Di Roma;270
Campodimele;16
Campoli Appennino;33
Canale Monterano;121
Canepina;93
Canino;100
Cantalice;58
Cantalupo In Sabina;44
Canterano;8
Capena;250
Capodimonte;24
Capranica;150
Capranica Prenestina;7
Caprarola;115
Carbognano;54
Carpineto Romano;108
Casalattico;16
Casalvieri;40
Casape;14
Casaprota;15
Casperia;23
Cassino;920
Castel Di Tora;9
Castel Gandolfo;226
Castel Madama;170
Castel San Pietro Romano;31
Castel Sant'Angelo;35
Castel Sant'Elia;79
Castelforte;111
Castelliri;72
Castelnuovo Di Farfa;21
Castelnuovo Di Porto;204
Castelnuovo Parano;26
Castiglione In Teverina;48
Castro Dei Volsci;103
Castrocielo;80
Cave;255
Ceccano;548
Celleno;27
Cellere;17
Ceprano;206
Cerreto Laziale;35
Cervara Di Roma;13
Cervaro;184
Cerveteri;842
Ciampino;989
Ciciliano;34
Cineto Romano;11
Cisterna Di Latina;949
Cittaducale;164
Cittareale;12
Civita Castellana;390
Civitavecchia;1192
Civitella D'Agliano;34
Civitella San Paolo;44
Colfelice;43
Collalto Sabino;7
Colle Di Tora;4
Colle San Magno;17
Colleferro;544
Collegiove;8
Collepardo;20
Collevecchio;36
Colli Sul Velino;11
Colonna;103
Concerviano;10
Configni;12
Contigliano;66
Corchiano;74
Coreno Ausonio;39
Cori;255
Cottanello;13
Esperia;88
Fabrica Di Roma;174
Faleria;38
Falvaterra;12
Fara In Sabina;357
Farnese;29
Ferentino;521
Fiamignano;28
Fiano Romano;356
Filacciano;5
Filettino;10
Fiuggi;236
Fiumicino;1900
Fondi;1073
Fontana Liri;62
Fonte Nuova;846
Fontechiari;33
Forano;76
Formello;330
Formia;972
Frascati;509
Frasso Sabino;17
Frosinone;1128
Fumone;56
Gaeta;493
Gallese;54
Gallicano Nel Lazio;157
Gallinaro;27
Gavignano;54
Genazzano;138
Genzano Di Roma;575
Gerano;22
Giuliano Di Roma;58
Gorga;18
Gradoli;32
Graffignano;53
Greccio;28
Grottaferrata;481
Grotte Di Castro;46
Guarcino;30
Guidonia Montecelio;2211
Ischia Di Castro;55
Isola Del Liri;263
Itri;236
Jenne;2
Labico;165
Labro;9
Ladispoli;1008
Lanuvio;283
Lariano;322
Latera;19
Latina;3146
Lenola;104
Leonessa;37
Licenza;19
Longone Sabino;12
Lubriano;30
Maenza;70
Magliano Romano;26
Magliano Sabina;80
Mandela;17
Manziana;148
Marano Equo;10
Marcellina;170
Marcetelli;3
Marino;1045
Marta;78
Mazzano Romano;68
Mentana;591
Micigliano;2
Minturno;548
Mompeo;14
Montalto Di Castro;183
Montasola;6
Monte Porzio Catone;187
Monte Romano;47
Monte San Biagio;136
Monte San Giovanni Campano;289
Monte San Giovanni In Sabina;11
Montebuono;17
Montecompatri;264
Montefiascone;273
Monteflavio;22
Montelanico;51
Monteleone Sabino;33
Montelibretti;112
Montenero Sabino;6
Monterosi;123
Monterotondo;956
Montopoli Di Sabina;115
Montorio Romano;48
Moricone;73
Morlupo;206
Morolo;79
Morro Reatino;7
Nazzano;25
Nemi;36
Nepi;224
Nerola;38
Nespolo;2
Nettuno;1177
Norma;74
Olevano Romano;127
Onano;13
Oriolo Romano;82
Orte;224
Orvinio;10
Paganico;1
Palestrina;521
Paliano;192
Palombara Sabina;303
Pastena;37
Patrica;70
Percile;0
Pescorocchiano;39
Pescosolido;42
Petrella Salto;19
Piansano;31
Picinisco;37
Pico;56
Piedimonte San Germano;152
Piglio;120
Pignataro Interamna;53
Pisoniano;19
Pofi;89
Poggio Bustone;47
Poggio Catino;31
Poggio Mirteto;156
Poggio Moiano;64
Poggio Nativo;57
Poggio San Lorenzo;15
Poli;72
Pomezia;1546
Pontecorvo;321
Pontinia;387
Ponza;88
Ponzano Romano;32
Posta;16
Posta Fibreno;21
Pozzaglia Sabino;5
Priverno;324
Proceno;13
Prossedi;30
Riano;208
Rieti;1105
Rignano Flaminio;203
Riofreddo;18
Ripi;140
Rivodutri;30
Rocca Canterano;2
Rocca D'Arce;16
Rocca Di Cave;6
Rocca Di Papa;431
Rocca Massima;24
Rocca Priora;309
Rocca Santo Stefano;15
Rocca Sinibalda;19
Roccagiovine;5
Roccagorga;122
Roccantica;16
Roccasecca;174
Roccasecca Dei Volsci;26
Roiate;14
Roma;63539
Ronciglione;172
Roviano;28
Sabaudia;440
Sacrofano;169
Salisano;14
Sambuci;19
San Biagio Saracinisco;9
San Cesareo;417
San Donato Val Di Comino;42
San Felice Circeo;253
San Giorgio A Liri;64
San Giovanni Incarico;79
San Gregorio Da Sassola;38
San Lorenzo Nuovo;43
San Polo Dei Cavalieri;56
San Vito Romano;93
San Vittore Del Lazio;63
Sant'Ambrogio Sul Garigliano;20
Sant'Andrea Del Garigliano;29
Sant'Angelo Romano;109
Sant'Apollinare;50
Sant'Elia Fiumerapido;147
Sant'Oreste;87
Santa Marinella;377
Santi Cosma E Damiano;185
Santopadre;24
Saracinesco;6
Scandriglia;64
Segni;222
Selci;23
Sermoneta;227
Serrone;57
Settefrati;21
Sezze;634
Sgurgola;54
Sonnino;205
Sora;590
Soriano Nel Cimino;182
Sperlonga;73
Spigno Saturnia;77
Stimigliano;58
Strangolagalli;64
Subiaco;187
Supino;126
Sutri;140
Tarano;24
Tarquinia;335
Terelle;8
Terracina;1078
Tessennano;4
Tivoli;1304
Toffia;21
Tolfa;112
Torre Cajetani;35
Torri In Sabina;29
Torrice;113
Torricella In Sabina;27
Torrita Tiberina;35
Trevi Nel Lazio;46
Trevignano Romano;111
Trivigliano;41
Turania;3
Tuscania;213
Vacone;0
Valentano;48
Vallecorsa;45
Vallemaio;25
Vallepietra;4
Vallerano;52
Vallerotonda;30
Vallinfreda;6
Valmontone;384
Varco Sabino;5
Vasanello;76
Vejano;53
Velletri;1298
Ventotene;17
Veroli;555
Vetralla;276
Vicalvi;18
Vico Nel Lazio;60
Vicovaro;93
Vignanello;89
Villa Latina;20
Villa San Giovanni In Tuscia;23
Villa Santa Lucia;68
