Argomento: Popolazione
Classi età: 65-69
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;20
Acquafondata;11
Acquapendente;176
Acuto;68
Affile;63
Agosta;54
Alatri;822
Albano Laziale;1113
Allumiere;147
Alvito;78
Amaseno;130
Amatrice;82
Anagni;610
Anguillara Sabazia;532
Anticoli Corrado;30
Antrodoco;102
Anzio;1548
Aprilia;1954
Aquino;165
Arce;179
Arcinazzo Romano;54
Ardea;1372
Ariccia;520
Arlena Di Castro;34
Arnara;80
Arpino;239
Arsoli;51
Artena;396
Ascrea;6
Atina;135
Ausonia;74
Bagnoregio;140
Barbarano Romano;42
Bassano In Teverina;53
Bassano Romano;156
Bassiano;40
Bellegra;105
Belmonte Castello;28
Belmonte In Sabina;13
Blera;104
Bolsena;123
Bomarzo;44
Borbona;29
Borgo Velino;37
Borgorose;176
Boville Ernica;278
Bracciano;477
Broccostella;75
Calcata;34
Camerata Nuova;19
Campagnano Di Roma;310
Campodimele;25
Campoli Appennino;54
Canale Monterano;127
Canepina;92
Canino;151
Cantalice;84
Cantalupo In Sabina;52
Canterano;17
Capena;277
Capodimonte;69
Capranica;196
Capranica Prenestina;12
Caprarola;188
Carbognano;62
Carpineto Romano;120
Casalattico;19
Casalvieri;79
Casape;20
Casaprota;20
Casperia;28
Cassino;1011
Castel Di Tora;9
Castel Gandolfo;230
Castel Madama;203
Castel San Pietro Romano;24
Castel Sant'Angelo;31
Castel Sant'Elia;66
Castelforte;133
Castelliri;108
Castelnuovo Di Farfa;50
Castelnuovo Di Porto;274
Castelnuovo Parano;35
Castiglione In Teverina;62
Castro Dei Volsci;157
Castrocielo;117
Cave;324
Ceccano;704
Celleno;53
Cellere;51
Ceprano;265
Cerreto Laziale;35
Cervara Di Roma;23
Cervaro;241
Cerveteri;1008
Ciampino;1031
Ciciliano;39
Cineto Romano;18
Cisterna Di Latina;980
Cittaducale;214
Cittareale;22
Civita Castellana;478
Civitavecchia;1407
Civitella D'Agliano;65
Civitella San Paolo;58
Colfelice;62
Collalto Sabino;19
Colle Di Tora;14
Colle San Magno;25
Colleferro;550
Collegiove;5
Collepardo;24
Collevecchio;55
Colli Sul Velino;15
Colonna;118
Concerviano;16
Configni;17
Contigliano;115
Corchiano;101
Coreno Ausonio;52
Cori;302
Cottanello;25
Esperia;158
Fabrica Di Roma;277
Faleria;61
Falvaterra;21
Fara In Sabina;424
Farnese;50
Ferentino;641
Fiamignano;70
Fiano Romano;383
Filacciano;14
Filettino;19
Fiuggi;304
Fiumicino;1919
Fondi;1087
Fontana Liri;86
Fonte Nuova;789
Fontechiari;47
Forano;88
Formello;351
Formia;1100
Frascati;651
Frasso Sabino;21
Frosinone;1354
Fumone;67
Gaeta;655
Gallese;94
Gallicano Nel Lazio;177
Gallinaro;35
Gavignano;66
Genazzano;163
Genzano Di Roma;758
Gerano;43
Giuliano Di Roma;75
Gorga;26
Gradoli;62
Graffignano;71
Greccio;47
Grottaferrata;543
Grotte Di Castro;82
Guarcino;45
Guidonia Montecelio;2178
Ischia Di Castro;76
Isola Del Liri;350
Itri;350
Jenne;19
Labico;134
Labro;13
Ladispoli;975
Lanuvio;382
Lariano;366
Latera;34
Latina;3378
Lenola;125
Leonessa;113
Licenza;33
Longone Sabino;34
Lubriano;26
Maenza;88
Magliano Romano;45
Magliano Sabina;113
Mandela;30
Manziana;238
Marano Equo;24
Marcellina;190
Marcetelli;0
Marino;1054
Marta;98
Mazzano Romano;96
Mentana;614
Micigliano;3
Minturno;638
Mompeo;22
Montalto Di Castro;259
Montasola;15
Monte Porzio Catone;262
Monte Romano;63
Monte San Biagio;198
Monte San Giovanni Campano;417
Monte San Giovanni In Sabina;16
Montebuono;34
Montecompatri;322
Montefiascone;440
Monteflavio;53
Montelanico;64
Monteleone Sabino;45
Montelibretti;141
Montenero Sabino;11
Monterosi;140
Monterotondo;1023
Montopoli Di Sabina;118
Montorio Romano;67
Moricone;84
Morlupo;269
Morolo;103
Morro Reatino;12
Nazzano;38
Nemi;65
Nepi;292
Nerola;49
Nespolo;14
Nettuno;1385
Norma;121
Olevano Romano;190
Onano;41
Oriolo Romano;132
Orte;247
Orvinio;17
Paganico;8
Palestrina;648
Paliano;228
Palombara Sabina;368
Pastena;60
Patrica;87
Percile;6
Pescorocchiano;86
Pescosolido;43
Petrella Salto;56
Piansano;69
Picinisco;40
Pico;97
Piedimonte San Germano;181
Piglio;150
Pignataro Interamna;85
Pisoniano;30
Pofi;153
Poggio Bustone;69
Poggio Catino;41
Poggio Mirteto;188
Poggio Moiano;80
Poggio Nativo;87
Poggio San Lorenzo;22
Poli;74
Pomezia;1554
Pontecorvo;451
Pontinia;395
Ponza;136
Ponzano Romano;27
Posta;24
Posta Fibreno;39
Pozzaglia Sabino;13
Priverno;373
Proceno;23
Prossedi;55
Riano;263
Rieti;1299
Rignano Flaminio;269
Riofreddo;32
Ripi;170
Rivodutri;33
Rocca Canterano;12
Rocca D'Arce;44
Rocca Di Cave;10
Rocca Di Papa;563
Rocca Massima;31
Rocca Priora;335
Rocca Santo Stefano;35
Rocca Sinibalda;22
Roccagiovine;10
Roccagorga;99
Roccantica;28
Roccasecca;224
Roccasecca Dei Volsci;31
Roiate;32
Roma;70824
Ronciglione;280
Roviano;50
Sabaudia;568
Sacrofano;225
Salisano;26
Sambuci;19
San Biagio Saracinisco;18
San Cesareo;405
San Donato Val Di Comino;90
San Felice Circeo;300
San Giorgio A Liri;103
San Giovanni Incarico;113
San Gregorio Da Sassola;60
San Lorenzo Nuovo;74
San Polo Dei Cavalieri;100
San Vito Romano;103
San Vittore Del Lazio;71
Sant'Ambrogio Sul Garigliano;33
Sant'Andrea Del Garigliano;54
Sant'Angelo Romano;141
Sant'Apollinare;65
Sant'Elia Fiumerapido;213
Sant'Oreste;117
Santa Marinella;602
Santi Cosma E Damiano;213
Santopadre;47
Saracinesco;4
Scandriglia;95
Segni;292
Selci;34
Sermoneta;197
Serrone;89
Settefrati;26
Sezze;643
Sgurgola;68
Sonnino;223
Sora;757
Soriano Nel Cimino;251
Sperlonga;98
Spigno Saturnia;105
Stimigliano;62
Strangolagalli;76
Subiaco;307
Supino;128
Sutri;245
Tarano;57
Tarquinia;515
Terelle;11
Terracina;1239
Tessennano;11
Tivoli;1557
Toffia;31
Tolfa;181
Torre Cajetani;55
Torri In Sabina;41
Torrice;136
Torricella In Sabina;55
Torrita Tiberina;28
Trevi Nel Lazio;79
Trevignano Romano;189
Trivigliano;42
Turania;13
Tuscania;272
Vacone;5
Valentano;115
