Argomento: Popolazione
Classi età: ≥85
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;13
Acquafondata;6
Acquapendente;79
Acuto;13
Affile;22
Agosta;23
Alatri;245
Albano Laziale;404
Allumiere;35
Alvito;45
Amaseno;44
Amatrice;57
Anagni;240
Anguillara Sabazia;168
Anticoli Corrado;5
Antrodoco;38
Anzio;555
Aprilia;646
Aquino;43
Arce;97
Arcinazzo Romano;15
Ardea;369
Ariccia;195
Arlena Di Castro;17
Arnara;38
Arpino;128
Arsoli;26
Artena;128
Ascrea;3
Atina;77
Ausonia;38
Bagnoregio;69
Barbarano Romano;15
Bassano In Teverina;22
Bassano Romano;64
Bassiano;28
Bellegra;38
Belmonte Castello;11
Belmonte In Sabina;11
Blera;46
Bolsena;52
Bomarzo;23
Borbona;20
Borgo Velino;14
Borgorose;82
Boville Ernica;115
Bracciano;221
Broccostella;30
Calcata;10
Camerata Nuova;6
Campagnano Di Roma;93
Campodimele;12
Campoli Appennino;26
Canale Monterano;34
Canepina;43
Canino;78
Cantalice;28
Cantalupo In Sabina;32
Canterano;1
Capena;71
Capodimonte;43
Capranica;62
Capranica Prenestina;8
Caprarola;72
Carbognano;22
Carpineto Romano;89
Casalattico;11
Casalvieri;43
Casape;7
Casaprota;12
Casperia;17
Cassino;405
Castel Di Tora;6
Castel Gandolfo;96
Castel Madama;76
Castel San Pietro Romano;7
Castel Sant'Angelo;20
Castel Sant'Elia;21
Castelforte;44
Castelliri;44
Castelnuovo Di Farfa;11
Castelnuovo Di Porto;84
Castelnuovo Parano;19
Castiglione In Teverina;29
Castro Dei Volsci;74
Castrocielo;49
Cave;94
Ceccano;272
Celleno;19
Cellere;33
Ceprano;131
Cerreto Laziale;16
Cervara Di Roma;8
Cervaro;97
Cerveteri;395
Ciampino;436
Ciciliano;19
Cineto Romano;14
Cisterna Di Latina;326
Cittaducale;92
Cittareale;14
Civita Castellana;161
Civitavecchia;592
Civitella D'Agliano;25
Civitella San Paolo;20
Colfelice;24
Collalto Sabino;8
Colle Di Tora;9
Colle San Magno;15
Colleferro;262
Collegiove;4
Collepardo;6
Collevecchio;30
Colli Sul Velino;10
Colonna;46
Concerviano;11
Configni;16
Contigliano;56
Corchiano;37
Coreno Ausonio;28
Cori;124
Cottanello;13
Esperia;58
Fabrica Di Roma;69
Faleria;26
Falvaterra;3
Fara In Sabina;147
Farnese;24
Ferentino;211
Fiamignano;27
Fiano Romano;126
Filacciano;0
Filettino;9
Fiuggi;113
Fiumicino;660
Fondi;373
Fontana Liri;43
Fonte Nuova;260
Fontechiari;15
Forano;44
Formello;118
Formia;557
Frascati;307
Frasso Sabino;12
Frosinone;555
Fumone;33
Gaeta;323
Gallese;47
Gallicano Nel Lazio;44
Gallinaro;18
Gavignano;22
Genazzano;60
Genzano Di Roma;262
Gerano;15
Giuliano Di Roma;30
Gorga;10
Gradoli;30
Graffignano;28
Greccio;30
Grottaferrata;275
Grotte Di Castro;32
Guarcino;18
Guidonia Montecelio;680
Ischia Di Castro;34
Isola Del Liri;183
Itri;147
Jenne;12
Labico;47
Labro;4
Ladispoli;393
Lanuvio;106
Lariano;104
Latera;24
Latina;1362
Lenola;70
Leonessa;37
Licenza;16
Longone Sabino;15
Lubriano;12
Maenza;27
Magliano Romano;7
Magliano Sabina;56
Mandela;12
Manziana;100
Marano Equo;17
Marcellina;71
Marcetelli;2
Marino;423
Marta;60
Mazzano Romano;22
Mentana;181
Micigliano;2
Minturno;275
Mompeo;14
Montalto Di Castro;102
Montasola;9
Monte Porzio Catone;99
Monte Romano;19
Monte San Biagio;95
Monte San Giovanni Campano;140
Monte San Giovanni In Sabina;12
Montebuono;20
Montecompatri;92
Montefiascone;185
Monteflavio;12
Montelanico;25
Monteleone Sabino;20
Montelibretti;57
Montenero Sabino;7
Monterosi;24
Monterotondo;371
Montopoli Di Sabina;44
Montorio Romano;24
