PRO_COM,PRO_COM_T,COMUNE,CODICE AZI,DENOMINAZI,Distretto,Municipio
"57058","057058",Pozzaglia Sabina,"110",RIETI,Rieti - D2,
"57059","057059",Rieti,"110",RIETI,Rieti - D1,
"57060","057060",Rivodutri,"110",RIETI,Rieti - D1,
"57061","057061",Roccantica,"110",RIETI,Rieti - D2,
"57062","057062",Rocca Sinibalda,"110",RIETI,Rieti - D1,
"57063","057063",Salisano,"110",RIETI,Rieti - D2,
"57064","057064",Scandriglia,"110",RIETI,Rieti - D2,
"57065","057065",Selci,"110",RIETI,Rieti - D2,
"57066","057066",Stimigliano,"110",RIETI,Rieti - D2,
"57067","057067",Tarano,"110",RIETI,Rieti - D2,
"57068","057068",Toffia,"110",RIETI,Rieti - D2,
"57069","057069",Torricella in Sabina,"110",RIETI,Rieti - D1,
"57070","057070",Torri in Sabina,"110",RIETI,Rieti - D2,
"57071","057071",Turania,"110",RIETI,Rieti - D1,
"57072","057072",Vacone,"110",RIETI,Rieti - D2,
"57073","057073",Varco Sabino,"110",RIETI,Rieti - D1,
"58001","058001",Affile,"205",ROMA 5,Roma 5 - G4,
"58002","058002",Agosta,"205",ROMA 5,Roma 5 - G4,
"58003","058003",Albano Laziale,"206",ROMA 6,Roma 6 - H2,
"58004","058004",Allumiere,"204",ROMA 4,Roma 4 - F1,
"58005","058005",Anguillara Sabazia,"204",ROMA 4,Roma 4 - F3,
"58006","058006",Anticoli Corrado,"205",ROMA 5,Roma 5 - G4,
"58007","058007",Anzio,"206",ROMA 6,Roma 6 - H6,
"58008","058008",Arcinazzo Romano,"205",ROMA 5,Roma 5 - G4,
"58009","058009",Ariccia,"206",ROMA 6,Roma 6 - H2,
"58010","058010",Arsoli,"205",ROMA 5,Roma 5 - G4,
"58011","058011",Artena,"205",ROMA 5,Roma 5 - G6,
"58012","058012",Bellegra,"205",ROMA 5,Roma 5 - G4,
"58013","058013",Bracciano,"204",ROMA 4,Roma 4 - F3,
"58014","058014",Camerata Nuova,"205",ROMA 5,Roma 5 - G4,
"58015","058015",Campagnano di Roma,"204",ROMA 4,Roma 4 - F4,
"58016","058016",Canale Monterano,"204",ROMA 4,Roma 4 - F3,
"58017","058017",Canterano,"205",ROMA 5,Roma 5 - G4,
"58018","058018",Capena,"204",ROMA 4,Roma 4 - F4,
"58019","058019",Capranica Prenestina,"205",ROMA 5,Roma 5 - G5,
"59006","059006",Cori,"111",LATINA,Latina - D1,
"59007","059007",Fondi,"111",LATINA,Latina - D4,
"59008","059008",Formia,"111",LATINA,Latina - D5,
"59009","059009",Gaeta,"111",LATINA,Latina - D5,
"59010","059010",Itri,"111",LATINA,Latina - D5,
"59011","059011",Latina,"111",LATINA,Latina - D2,
"59012","059012",Lenola,"111",LATINA,Latina - D4,
"59013","059013",Maenza,"111",LATINA,Latina - D3,
"59014","059014",Minturno,"111",LATINA,Latina - D5,
"59015","059015",Monte San Biagio,"111",LATINA,Latina - D4,
"59016","059016",Norma,"111",LATINA,Latina - D2,
"59017","059017",Pontinia,"111",LATINA,Latina - D2,
"59018","059018",Ponza,"111",LATINA,Latina - D5,
"59019","059019",Priverno,"111",LATINA,Latina - D3,
"59020","059020",Prossedi,"111",LATINA,Latina - D3,
"59021","059021",Roccagorga,"111",LATINA,Latina - D3,
"59022","059022",Rocca Massima,"111",LATINA,Latina - D1,
"59023","059023",Roccasecca dei Volsci,"111",LATINA,Latina - D3,
"59024","059024",Sabaudia,"111",LATINA,Latina - D2,
"59025","059025",San Felice Circeo,"111",LATINA,Latina - D4,
"59026","059026",Santi Cosma e Damiano,"111",LATINA,Latina - D5,
"59027","059027",Sermoneta,"111",LATINA,Latina - D2,
"59028","059028",Sezze,"111",LATINA,Latina - D3,
"59029","059029",Sonnino,"111",LATINA,Latina - D3,
"59030","059030",Sperlonga,"111",LATINA,Latina - D4,
"59031","059031",Spigno Saturnia,"111",LATINA,Latina - D5,
"59032","059032",Terracina,"111",LATINA,Latina - D4,
"59033","059033",Ventotene,"111",LATINA,Latina - D5,
"60001","060001",Acquafondata,"112",FROSINONE,Frosinone - D,
"60002","060002",Acuto,"112",FROSINONE,Frosinone - A,
"60003","060003",Alatri,"112",FROSINONE,Frosinone - A,
"60004","060004",Alvito,"112",FROSINONE,Frosinone - C,
"60005","060005",Amaseno,"112",FROSINONE,Frosinone - B,
"60006","060006",Anagni,"112",FROSINONE,Frosinone - A,
"60007","060007",Aquino,"112",FROSINONE,Frosinone - D,
"60008","060008",Arce,"112",FROSINONE,Frosinone - C,
"60009","060009",Arnara,"112",FROSINONE,Frosinone - B,
"56001","056001",Acquapendente,"109",VITERBO,Viterbo - A,
"56002","056002",Arlena di Castro,"109",VITERBO,Viterbo - A,
"56003","056003",Bagnoregio,"109",VITERBO,Viterbo - A,
"56004","056004",Barbarano Romano,"109",VITERBO,Viterbo - C,
"56005","056005",Bassano Romano,"109",VITERBO,Viterbo - C,
"56006","056006",Bassano in Teverina,"109",VITERBO,Viterbo - B,
"56007","056007",Blera,"109",VITERBO,Viterbo - C,
"56008","056008",Bolsena,"109",VITERBO,Viterbo - A,
"56009","056009",Bomarzo,"109",VITERBO,Viterbo - B,
"56010","056010",Calcata,"109",VITERBO,Viterbo - C,
"56011","056011",Canepina,"109",VITERBO,Viterbo - B,
"56012","056012",Canino,"109",VITERBO,Viterbo - A,
"56013","056013",Capodimonte,"109",VITERBO,Viterbo - A,
"56014","056014",Capranica,"109",VITERBO,Viterbo - C,
"56015","056015",Caprarola,"109",VITERBO,Viterbo - C,
"56016","056016",Carbognano,"109",VITERBO,Viterbo - C,
"56017","056017",Castel Sant'Elia,"109",VITERBO,Viterbo - C,
"56018","056018",Castiglione in Teverina,"109",VITERBO,Viterbo - A,
"56019","056019",Celleno,"109",VITERBO,Viterbo - B,
"56020","056020",Cellere,"109",VITERBO,Viterbo - A,
"56021","056021",Civita Castellana,"109",VITERBO,Viterbo - C,
"56022","056022",Civitella d'Agliano,"109",VITERBO,Viterbo - A,
"56023","056023",Corchiano,"109",VITERBO,Viterbo - C,
"56024","056024",Fabrica di Roma,"109",VITERBO,Viterbo - C,
"56025","056025",Faleria,"109",VITERBO,Viterbo - C,
"56026","056026",Farnese,"109",VITERBO,Viterbo - A,
"56027","056027",Gallese,"109",VITERBO,Viterbo - C,
"56028","056028",Gradoli,"109",VITERBO,Viterbo - A,
"56029","056029",Graffignano,"109",VITERBO,Viterbo - A,
"56030","056030",Grotte di Castro,"109",VITERBO,Viterbo - A,
"56031","056031",Ischia di Castro,"109",VITERBO,Viterbo - A,
"56032","056032",Latera,"109",VITERBO,Viterbo - A,
"56033","056033",Lubriano,"109",VITERBO,Viterbo - A,
"56034","056034",Marta,"109",VITERBO,Viterbo - A,
"56035","056035",Montalto di Castro,"109",VITERBO,Viterbo - A,
"56036","056036",Montefiascone,"109",VITERBO,Viterbo - A,
"56037","056037",Monte Romano,"109",VITERBO,Viterbo - A,
"56038","056038",Monterosi,"109",VITERBO,Viterbo - C,
"56039","056039",Nepi,"109",VITERBO,Viterbo - C,
"56040","056040",Onano,"109",VITERBO,Viterbo - A,
"56041","056041",Oriolo Romano,"109",VITERBO,Viterbo - C,
"56042","056042",Orte,"109",VITERBO,Viterbo - B,
"56043","056043",Piansano,"109",VITERBO,Viterbo - A,
"56044","056044",Proceno,"109",VITERBO,Viterbo - A,
"56045","056045",Ronciglione,"109",VITERBO,Viterbo - C,
"56046","056046",Villa San Giovanni in Tuscia,"109",VITERBO,Viterbo - C,
"56047","056047",San Lorenzo Nuovo,"109",VITERBO,Viterbo - A,
"56048","056048",Soriano nel Cimino,"109",VITERBO,Viterbo - B,
"56049","056049",Sutri,"109",VITERBO,Viterbo - C,
"56050","056050",Tarquinia,"109",VITERBO,Viterbo - A,
"56051","056051",Tessennano,"109",VITERBO,Viterbo - A,
"56052","056052",Tuscania,"109",VITERBO,Viterbo - A,
"56053","056053",Valentano,"109",VITERBO,Viterbo - A,
"56054","056054",Vallerano,"109",VITERBO,Viterbo - C,
"56055","056055",Vasanello,"109",VITERBO,Viterbo - C,
"56056","056056",Vejano,"109",VITERBO,Viterbo - C,
"56057","056057",Vetralla,"109",VITERBO,Viterbo - C,
"56058","056058",Vignanello,"109",VITERBO,Viterbo - C,
"56059","056059",Viterbo,"109",VITERBO,Viterbo - B,
"56060","056060",Vitorchiano,"109",VITERBO,Viterbo - B,
"57001","057001",Accumoli,"110",RIETI,Rieti - D1,
"57002","057002",Amatrice,"110",RIETI,Rieti - D1,
"57003","057003",Antrodoco,"110",RIETI,Rieti - D1,
"57004","057004",Ascrea,"110",RIETI,Rieti - D1,
"57005","057005",Belmonte in Sabina,"110",RIETI,Rieti - D1,
"57006","057006",Borbona,"110",RIETI,Rieti - D1,
"57007","057007",Borgorose,"110",RIETI,Rieti - D1,
"57008","057008",Borgo Velino,"110",RIETI,Rieti - D1,
"57009","057009",Cantalice,"110",RIETI,Rieti - D1,
"57010","057010",Cantalupo in Sabina,"110",RIETI,Rieti - D2,
"57011","057011",Casaprota,"110",RIETI,Rieti - D2,
"57012","057012",Casperia,"110",RIETI,Rieti - D2,
"57013","057013",Castel di Tora,"110",RIETI,Rieti - D1,
"57014","057014",Castelnuovo di Farfa,"110",RIETI,Rieti - D2,
"57015","057015",Castel Sant'Angelo,"110",RIETI,Rieti - D1,
"57016","057016",Cittaducale,"110",RIETI,Rieti - D1,
"57017","057017",Cittareale,"110",RIETI,Rieti - D1,
"57018","057018",Collalto Sabino,"110",RIETI,Rieti - D1,
"57019","057019",Colle di Tora,"110",RIETI,Rieti - D1,
"57020","057020",Collegiove,"110",RIETI,Rieti - D1,
"57021","057021",Collevecchio,"110",RIETI,Rieti - D2,
"57022","057022",Colli sul Velino,"110",RIETI,Rieti - D1,
"57023","057023",Concerviano,"110",RIETI,Rieti - D1,
"57024","057024",Configni,"110",RIETI,Rieti - D2,
