Group,Estimated Count
male_0_30,846851
male_30_60,1374247
male_60_100,851949
female_0_30,898364
female_30_60,1457841
female_60_100,903772
male_hpt,579109
female_hpt,614336
male_hf,45577
female_hf,48349
male_hpt_30,1721
male_hpt_60,122544
male_hpt_100,454844
female_hpt_30,1826
female_hpt_60,129999
female_hpt_100,482511
male_hf_30,206
male_hf_60,4105
male_hf_100,41267
female_hf_30,218
female_hf_60,4354
female_hf_100,43776
male_30_hpt_hf,0
male_60_hpt_hf,366
male_100_hpt_hf,22032
female_30_hpt_hf,0
female_60_hpt_hf,388
female_100_hpt_hf,23371
